Date,ELUX-B.ST
2019-07-01,166.92886352539062
2019-07-02,166.92886352539062
2019-07-03,168.05532836914062
2019-07-04,168.9705810546875
2019-07-05,168.9001922607422
2019-07-08,170.23785400390625
2019-07-09,168.82977294921875
2019-07-10,168.40736389160156
2019-07-11,166.3656463623047
2019-07-12,168.61856079101562
2019-07-15,168.4777374267578
2019-07-16,167.8441162109375
2019-07-17,165.45037841796875
2019-07-18,164.2534942626953
2019-07-19,167.63290405273438
2019-07-22,166.50643920898438
2019-07-23,167.1400604248047
2019-07-24,162.77499389648438
2019-07-25,161.22610473632812
2019-07-26,159.74761962890625
2019-07-29,159.81802368164062
2019-07-30,158.8323516845703
2019-07-31,157.8466796875
2019-08-01,157.5650634765625
2019-08-02,151.5102996826172
2019-08-06,149.96141052246094
2019-08-07,152.98876953125
2019-08-08,155.59371948242188
2019-08-09,154.39686584472656
2019-08-12,156.79061889648438
2019-08-13,157.8466796875
2019-08-14,153.4816131591797
2019-08-15,152.9183807373047
2019-08-16,155.3825225830078
2019-08-19,158.9027557373047
2019-08-20,160.3108673095703
2019-08-21,160.1700439453125
2019-08-22,157.07223510742188
2019-08-23,154.11526489257812
2019-08-26,153.76324462890625
2019-08-27,154.04486083984375
2019-08-28,152.0735321044922
2019-08-29,153.05917358398438
2019-08-30,154.53768920898438
2019-09-02,153.34078979492188
2019-09-03,152.21432495117188
2019-09-04,150.80624389648438
2019-09-05,155.17132568359375
2019-09-06,156.57940673828125
2019-09-09,157.4946746826172
2019-09-10,161.78933715820312
2019-09-11,161.64852905273438
2019-09-12,162.42298889160156
2019-09-13,166.50643920898438
2019-09-16,164.6055145263672
2019-09-17,163.12701416015625
2019-09-18,164.11270141601562
2019-09-19,166.29522705078125
2019-09-20,168.9001922607422
2019-09-23,164.04226684570312
2019-09-24,164.32391357421875
2019-09-25,162.5637969970703
2019-09-26,164.18309020996094
2019-09-27,166.50643920898438
2019-09-30,164.32391357421875
2019-10-01,166.0840301513672
2019-10-02,161.50772094726562
2019-10-03,162.0709686279297
2019-10-04,165.87278747558594
2019-10-07,168.82977294921875
2019-10-08,166.64727783203125
2019-10-09,167.77371215820312
2019-10-10,173.20826721191406
2019-10-11,177.09413146972656
2019-10-14,177.6697998046875
2019-10-15,180.404296875
2019-10-16,181.6276092529297
2019-10-17,181.267822265625
2019-10-18,181.3397674560547
2019-10-21,184.5060272216797
2019-10-22,181.6276092529297
2019-10-23,179.9005584716797
2019-10-24,180.33230590820312
2019-10-25,191.55812072753906
2019-10-28,186.5928497314453
2019-10-29,184.2181854248047
2019-10-30,183.6425018310547
2019-10-31,182.419189453125
2019-11-01,183.1387939453125
2019-11-04,184.43405151367188
2019-11-05,183.9303436279297
2019-11-06,180.7640838623047
2019-11-07,183.2107391357422
2019-11-08,184.29013061523438
2019-11-11,185.65737915039062
2019-11-12,187.16854858398438
2019-11-13,186.5928497314453
2019-11-14,183.7864227294922
2019-11-15,182.13133239746094
2019-11-18,181.9154510498047
2019-11-19,176.15863037109375
2019-11-20,174.8633575439453
2019-11-21,172.20083618164062
2019-11-22,171.6970977783203
2019-11-25,174.2876739501953
2019-11-26,174.8633575439453
2019-11-27,173.5680694580078
2019-11-28,174.1437530517578
2019-11-29,177.09413146972656
2019-12-02,174.35964965820312
2019-12-03,173.35218811035156
2019-12-04,177.813720703125
2019-12-05,179.46881103515625
2019-12-06,185.8013153076172
2019-12-09,184.14622497558594
2019-12-10,184.7938690185547
2019-12-11,181.9154510498047
2019-12-12,179.9005584716797
2019-12-13,180.47625732421875
2019-12-16,161.40679931640625
2019-12-17,167.5233917236328
2019-12-18,167.45144653320312
2019-12-19,168.09909057617188
2019-12-20,168.24301147460938
2019-12-23,167.95518493652344
2019-12-27,167.09165954589844
2019-12-30,165.43655395507812
2020-01-02,168.24301147460938
2020-01-03,164.86087036132812
2020-01-07,167.01966857910156
2020-01-08,166.3000946044922
2020-01-09,168.81869506835938
2020-01-10,168.6028289794922
2020-01-13,169.03457641601562
2020-01-14,169.46633911132812
2020-01-15,167.23556518554688
2020-01-16,171.91297912597656
2020-01-17,175.58294677734375
2020-01-20,173.92787170410156
2020-01-21,175.07923889160156
2020-01-22,170.9774932861328
2020-01-23,168.89065551757812
2020-01-24,171.62513732910156
2020-01-27,165.43655395507812
2020-01-28,168.74671936035156
2020-01-29,171.19337463378906
2020-01-30,168.45889282226562
2020-01-31,164.5730438232422
2020-02-03,161.98248291015625
2020-02-04,160.615234375
2020-02-05,163.9973602294922
2020-02-06,164.86087036132812
2020-02-07,164.2132568359375
2020-02-10,161.40679931640625
2020-02-11,162.27032470703125
2020-02-12,162.9899139404297
2020-02-13,160.6871795654297
2020-02-14,160.39935302734375
2020-02-17,159.75172424316406
2020-02-18,159.67974853515625
2020-02-19,157.80877685546875
2020-02-20,157.73683166503906
2020-02-21,156.4415283203125
2020-02-24,149.60531616210938
2020-02-25,147.15867614746094
2020-02-26,149.67727661132812
2020-02-27,144.06436157226562
2020-02-28,139.92666625976562
2020-03-02,139.27903747558594
2020-03-03,141.47381591796875
2020-03-04,141.00608825683594
2020-03-05,138.23561096191406
2020-03-06,135.5730743408203
2020-03-09,131.5792694091797
2020-03-10,131.50729370117188
2020-03-11,126.47010040283203
2020-03-12,110.35101318359375
2020-03-13,108.26416778564453
2020-03-16,97.75797271728516
2020-03-17,94.51976776123047
2020-03-18,92.90589904785156
2020-03-19,96.00276947021484
2020-03-20,96.39532470703125
2020-03-23,91.6409912109375
2020-03-24,98.88153839111328
2020-03-25,104.55184936523438
2020-03-26,108.6955337524414
2020-03-27,102.63267517089844
2020-03-30,105.86038208007812
2020-03-31,107.99766540527344
2020-04-01,103.33055114746094
2020-04-02,100.23369598388672
2020-04-03,97.00597381591797
2020-04-06,102.93799591064453
2020-04-07,109.00086212158203
2020-04-08,110.00407409667969
2020-04-09,111.92326354980469
2020-04-14,110.74556732177734
2020-04-15,104.85717010498047
2020-04-16,107.60509490966797
2020-04-17,111.879638671875
2020-04-20,114.14776611328125
2020-04-21,110.9200439453125
2020-04-22,110.74556732177734
2020-04-23,111.66154479980469
2020-04-24,110.7891845703125
2020-04-27,113.92967987060547
2020-04-28,115.93609619140625
2020-04-29,120.86490631103516
2020-04-30,117.63719177246094
2020-05-04,109.74237060546875
2020-05-05,113.18817138671875
2020-05-06,116.37227630615234
2020-05-07,118.55316162109375
2020-05-08,120.34148406982422
2020-05-11,119.94893646240234
2020-05-12,121.69364929199219
2020-05-13,118.50953674316406
2020-05-14,116.15416717529297
2020-05-15,118.98933410644531
2020-05-18,126.70968627929688
2020-05-19,124.96497344970703
2020-05-20,123.91815185546875
2020-05-22,125.53199005126953
2020-05-25,129.67568969726562
2020-05-26,133.47044372558594
2020-05-27,133.9502410888672
2020-05-28,136.74179077148438
2020-05-29,134.47364807128906
2020-06-01,136.08750915527344
2020-06-02,139.4897003173828
2020-06-03,145.24725341796875
2020-06-04,139.83863830566406
2020-06-05,141.45248413085938
2020-06-08,141.1907958984375
2020-06-09,139.27159118652344
2020-06-10,138.5301055908203
2020-06-11,131.5948944091797
2020-06-12,133.6012725830078
2020-06-15,133.9502410888672
2020-06-16,141.80145263671875
2020-06-17,139.92588806152344
2020-06-18,138.00669860839844
2020-06-22,134.99708557128906
2020-06-23,139.57693481445312
2020-06-24,134.34280395507812
2020-06-25,135.25877380371094
2020-06-26,135.43325805664062
2020-06-29,135.86941528320312
2020-06-30,135.91305541992188
2020-07-01,134.82260131835938
2020-07-02,140.492919921875
2020-07-03,140.1875762939453
2020-07-06,143.807861328125
2020-07-07,143.938720703125
2020-07-08,147.122802734375
2020-07-09,151.17926025390625
2020-07-10,151.4409942626953
2020-07-13,154.79954528808594
2020-07-14,153.44740295410156
2020-07-15,155.19210815429688
2020-07-16,155.4538116455078
2020-07-17,146.77386474609375
2020-07-20,148.3004913330078
2020-07-21,145.68345642089844
2020-07-22,145.85789489746094
2020-07-23,146.64303588867188
2020-07-24,145.90151977539062
2020-07-27,146.2068634033203
2020-07-28,146.3376922607422
2020-07-29,147.47177124023438
2020-07-30,143.1972198486328
2020-07-31,143.1099853515625
2020-08-03,146.77386474609375
2020-08-04,146.64303588867188
2020-08-05,149.1292266845703
2020-08-06,149.82713317871094
2020-08-07,153.36016845703125
2020-08-10,153.5782470703125
2020-08-11,158.1581268310547
2020-08-12,156.1080780029297
2020-08-13,157.32937622070312
2020-08-14,155.71551513671875
2020-08-17,155.6282958984375
2020-08-18,155.5410614013672
2020-08-19,159.64112854003906
2020-08-20,157.63470458984375
2020-08-21,159.5538787841797
2020-08-24,163.04331970214844
2020-08-25,162.91246032714844
2020-08-26,165.9656982421875
2020-08-27,164.35183715820312
2020-08-28,163.95928955078125
2020-08-31,163.47950744628906
2020-09-01,162.30181884765625
2020-09-02,165.79122924804688
2020-09-03,161.7347869873047
2020-09-04,161.77841186523438
2020-09-07,164.70079040527344
2020-09-08,155.80276489257812
2020-09-09,158.6815185546875
2020-09-10,159.77195739746094
2020-09-11,159.9900665283203
2020-09-14,160.20814514160156
2020-09-15,163.6103515625
2020-09-16,169.4987335205078
2020-09-17,169.1934051513672
2020-09-18,169.7604522705078
2020-09-21,164.83163452148438
2020-09-22,166.57635498046875
2020-09-23,168.93170166015625
2020-09-24,170.240234375
2020-09-25,175.16905212402344
2020-09-28,179.87977600097656
2020-09-29,183.71815490722656
2020-09-30,182.67132568359375
2020-10-01,182.84579467773438
2020-10-02,180.1414794921875
2020-10-05,181.1883087158203
2020-10-06,180.31594848632812
2020-10-07,181.0138397216797
2020-10-08,179.181884765625
2020-10-09,181.36277770996094
2020-10-12,180.66490173339844
2020-10-13,180.75213623046875
2020-10-14,182.1479034423828
2020-10-15,178.3967742919922
2020-10-16,182.32237243652344
2020-10-19,183.45643615722656
2020-10-20,179.87977600097656
2020-10-21,178.74571228027344
2020-10-22,180.31594848632812
2020-10-23,179.00741577148438
2020-10-26,178.04783630371094
2020-10-27,180.57765197753906
2020-10-28,174.55841064453125
2020-10-29,173.4679718017578
2020-10-30,175.25628662109375
2020-11-02,178.3967742919922
2020-11-03,187.81820678710938
2020-11-04,189.80189514160156
2020-11-05,190.0723876953125
2020-11-06,190.6134033203125
2020-11-09,181.326171875
2020-11-10,179.52285766601562
2020-11-11,185.65420532226562
2020-11-12,184.2115478515625
2020-11-13,185.2935333251953
2020-11-16,188.1788787841797
2020-11-17,186.55587768554688
2020-11-18,185.11322021484375
2020-11-19,185.2935333251953
2020-11-20,186.19522094726562
2020-11-23,186.014892578125
2020-11-24,184.30169677734375
2020-11-25,185.47386169433594
2020-11-26,185.56405639648438
2020-11-27,185.0230255126953
2020-11-30,185.3837127685547
2020-12-01,187.00669860839844
2020-12-02,182.94918823242188
2020-12-03,179.3424835205078
2020-12-04,181.14584350585938
2020-12-07,180.33433532714844
2020-12-08,182.2278594970703
2020-12-09,186.3755340576172
2020-12-10,182.13768005371094
2020-12-11,178.7564239501953
2020-12-14,178.125244140625
2020-12-15,178.26048278808594
2020-12-16,176.9530792236328
2020-12-17,174.20297241210938
2020-12-18,177.31375122070312
2020-12-21,171.317626953125
2020-12-22,172.8955535888672
2020-12-23,173.75213623046875
2020-12-28,174.65380859375
2020-12-29,175.64566040039062
2020-12-30,172.53488159179688
2021-01-04,171.49795532226562
2021-01-05,175.73580932617188
2021-01-07,168.7929229736328
2021-01-08,170.41595458984375
