Date,SHREECEM.NS
2019-03-11,17551.25390625
2019-03-12,17679.943359375
2019-03-13,17506.2890625
2019-03-14,17282.927734375
2019-03-15,17107.611328125
2019-03-18,17369.248046875
2019-03-19,17625.900390625
2019-03-20,17612.23046875
2019-03-22,17691.078125
2019-03-25,17411.185546875
2019-03-26,17698.83984375
2019-03-27,17463.91015625
2019-03-28,17838.123046875
2019-04-01,18353.576171875
2019-04-02,18063.240234375
2019-04-03,18167.62109375
2019-04-04,18427.642578125
2019-04-05,18629.564453125
2019-04-08,18381.556640625
2019-04-09,18505.99609375
2019-04-10,18544.220703125
2019-04-11,18519.765625
2019-04-12,18622.2890625
2019-04-15,18927.865234375
2019-04-16,19133.498046875
2019-04-18,19229.53125
2019-04-22,18951.296875
2019-04-23,18837.54296875
2019-04-24,18940.1171875
2019-04-25,19432.578125
2019-04-26,19543.984375
2019-04-30,19322.921875
2019-05-02,19430.71875
2019-05-03,19403.23046875
2019-05-06,19300.369140625
2019-05-07,19300.56640625
2019-05-08,19364.912109375
2019-05-09,18863.423828125
2019-05-10,18535.73046875
2019-05-13,18373.5
2019-05-14,18507.3671875
2019-05-15,18565.318359375
2019-05-16,18959.888671875
2019-05-17,19021.2578125
2019-05-20,19866.548828125
2019-05-21,19997.77734375
2019-05-22,19731.0703125
2019-05-23,20326.982421875
2019-05-24,20433.80078125
2019-05-27,20964.78125
2019-05-28,21141.21484375
2019-05-29,21126.716796875
2019-05-30,20930.310546875
2019-05-31,21109.044921875
2019-06-03,21361.84375
2019-06-04,20700.65625
2019-06-06,20132.28125
2019-06-07,20250.28125
2019-06-10,20317.068359375
2019-06-11,20292.267578125
2019-06-12,20061.63671875
2019-06-13,20270.78515625
2019-06-14,19980.78515625
2019-06-17,19520.404296875
2019-06-18,20054.556640625
2019-06-19,19956.671875
2019-06-20,20699.73046875
2019-06-21,20655.646484375
2019-06-24,20584.26953125
2019-06-25,21080.244140625
2019-06-26,21344.705078125
2019-06-27,21371.8515625
2019-06-28,21306.330078125
2019-07-01,20962.875
2019-07-02,21043.775390625
