Date,MTO.L
2018-12-05,73.06806182861328
2018-12-06,72.03897857666016
2018-12-07,70.64959716796875
2018-12-10,66.68749237060547
2018-12-11,64.98944091796875
2018-12-12,65.86416625976562
2018-12-13,64.83496856689453
2018-12-14,64.32042694091797
2018-12-17,62.776817321777344
2018-12-18,63.54862594604492
2018-12-19,60.92430114746094
2018-12-20,58.666873931884766
2018-12-21,58.30663299560547
2018-12-24,56.04225540161133
2018-12-27,54.44693374633789
2018-12-28,57.6375732421875
2018-12-31,56.91709899902344
2019-01-02,57.174495697021484
2019-01-03,59.79901123046875
2019-01-04,58.666873931884766
2019-01-07,62.83529281616211
2019-01-08,63.6071891784668
2019-01-09,61.70315170288086
2019-01-10,61.18854904174805
2019-01-11,59.02711486816406
2019-01-14,58.46099853515625
2019-01-15,59.07853317260742
2019-01-16,58.718292236328125
2019-01-17,59.95337677001953
2019-01-18,60.519493103027344
2019-01-21,62.989654541015625
2019-01-22,62.83529281616211
2019-01-23,61.39433288574219
2019-01-24,59.747589111328125
2019-01-25,58.30663299560547
2019-01-28,60.31360626220703
2019-01-29,60.056312561035156
2019-01-30,60.82831954956055
2019-01-31,60.41654968261719
2019-02-01,59.747589111328125
2019-02-04,62.37211227416992
2019-02-05,64.9452133178711
2019-02-06,65.61427307128906
2019-02-07,64.99674224853516
2019-02-08,64.84225463867188
2019-02-11,65.04814910888672
2019-02-12,65.76863861083984
2019-02-13,64.79084777832031
2019-02-14,63.81306838989258
2019-02-15,63.144107818603516
2019-02-18,63.96743392944336
2019-02-19,64.1733169555664
2019-02-20,64.99674224853516
2019-02-21,65.40839385986328
2019-02-22,65.35696411132812
2019-02-25,66.74639892578125
2019-02-26,66.12886810302734
2019-02-27,68.4446792602539
2019-02-28,66.33476257324219
2019-03-01,66.90077209472656
2019-03-04,67.15807342529297
2019-03-05,68.90784454345703
2019-03-06,72.0984878540039
2019-03-07,73.5394515991211
2019-03-08,73.59085083007812
2019-03-11,74.25992584228516
2019-03-12,75.70088958740234
2019-03-13,76.47277069091797
2019-03-14,76.21548461914062
2019-03-15,75.34064483642578
2019-03-18,77.3990478515625
2019-03-19,76.67865753173828
2019-03-20,79.81779479980469
2019-03-21,78.73706817626953
2019-03-22,76.62715148925781
2019-03-25,76.26690673828125
2019-03-26,75.4434814453125
2019-03-27,77.19327545166016
2019-03-28,71.63530731201172
2019-03-29,76.57572937011719
2019-04-01,73.69380187988281
2019-04-02,71.68682098388672
2019-04-03,71.01776885986328
2019-04-04,70.03999328613281
2019-04-05,68.54761505126953
2019-04-08,66.43769836425781
2019-04-09,62.26917266845703
2019-04-10,61.23997116088867
2019-04-11,61.44585418701172
2019-04-12,62.783870697021484
2019-04-15,62.783870697021484
2019-04-16,62.73235321044922
2019-04-17,62.73235321044922
2019-04-18,62.783870697021484
2019-04-23,65.04814910888672
2019-04-24,65.40839385986328
2019-04-25,65.45990753173828
2019-04-26,67.31253051757812
2019-04-29,66.74639892578125
2019-04-30,67.46688842773438
2019-05-01,67.41546630859375
2019-05-02,68.08441925048828
2019-05-03,67.77571105957031
2019-05-07,67.93008422851562
2019-05-08,71.5838851928711
2019-05-09,68.95925903320312
2019-05-10,70.45165252685547
2019-05-13,70.03999328613281
2019-05-14,70.60609436035156
2019-05-15,75.34064483642578
2019-05-16,76.62715148925781
2019-05-17,78.11952209472656
