Date,AVON.L
2021-04-16,3578.2822265625
2021-04-19,3548.3134765625
2021-04-20,3528.33447265625
2021-04-21,3462.403076171875
2021-04-22,3498.365234375
2021-04-23,3472.392822265625
2021-04-26,3522.3408203125
2021-04-27,3390.477783203125
2021-04-28,3236.637939453125
2021-04-29,3258.614501953125
2021-04-30,3314.556640625
2021-05-04,3204.670654296875
2021-05-05,3178.69775390625
2021-05-06,3214.660888671875
2021-05-07,3278.59423828125
2021-05-10,3186.689453125
2021-05-11,3116.762451171875
2021-05-12,3066.81396484375
2021-05-13,3074.8056640625
2021-05-14,3054.826416015625
2021-05-17,3040.8408203125
2021-05-18,3090.7890625
2021-05-19,3076.8037109375
2021-05-20,3190.68505859375
2021-05-21,3266.606201171875
2021-05-24,3264.6083984375
2021-05-25,2914.971435546875
2021-05-26,2958.92626953125
2021-05-27,2996.886962890625
2021-05-28,3092.786865234375
2021-06-01,3086.79296875
2021-06-02,3110.7685546875
2021-06-03,2960.923828125
2021-06-04,2940.94482421875
2021-06-07,2835.054443359375
2021-06-08,2813.0771484375
2021-06-09,2769.123291015625
2021-06-10,2749.143798828125
2021-06-11,2747.14599609375
2021-06-14,2705.189453125
2021-06-15,2719.17529296875
2021-06-16,2689.20654296875
2021-06-17,2697.19775390625
2021-06-18,2661.23486328125
2021-06-21,2647.249755859375
2021-06-22,2693.201904296875
2021-06-23,2647.249755859375
2021-06-24,2667.229248046875
2021-06-25,2683.21240234375
2021-06-28,2669.227294921875
2021-06-29,2629.268798828125
2021-06-30,2613.28515625
2021-07-01,2653.24365234375
2021-07-02,2707.1875
2021-07-05,2691.2041015625
2021-07-06,2649.248291015625
2021-07-07,2629.268798828125
2021-07-08,2555.345703125
2021-07-09,2597.301513671875
2021-07-12,2515.38671875
2021-07-13,2491.411865234375
2021-07-14,2507.39501953125
2021-07-15,2561.339111328125
2021-07-16,2537.364013671875
2021-07-19,2421.484375
2021-07-20,2465.4384765625
2021-07-21,2539.36181640625
2021-07-22,2561.339111328125
2021-07-23,2653.24365234375
2021-07-26,2653.24365234375
2021-07-27,2629.268798828125
2021-07-28,2645.251708984375
2021-07-29,2689.20654296875
2021-07-30,2713.18115234375
2021-08-02,2799.091796875
2021-08-03,2787.104736328125
2021-08-04,2825.06494140625
2021-08-05,2777.216552734375
2021-08-06,2817.176513671875
2021-08-09,2883.110595703125
2021-08-10,2889.1044921875
2021-08-11,2927.066162109375
2021-08-12,2947.04638671875
2021-08-13,2129.865478515625
2021-08-16,2107.88720703125
2021-08-17,1997.997314453125
2021-08-18,1973.0225830078125
2021-08-19,1944.051513671875
2021-08-20,1898.09765625
2021-08-23,1888.1075439453125
2021-08-24,1903.092529296875
2021-08-25,1879.1165771484375
2021-08-26,1842.1536865234375
2021-08-27,1889.1065673828125
2021-08-31,1877.11865234375
2021-09-01,1837.1588134765625
2021-09-02,1835.1607666015625
2021-09-03,1834.1617431640625
2021-09-06,1798.1976318359375
2021-09-07,1774.2216796875
2021-09-08,1798.1976318359375
2021-09-09,1797.1988525390625
2021-09-10,1761.23486328125
2021-09-13,1788.2076416015625
2021-09-14,1764.2318115234375
2021-09-15,1768.227783203125
2021-09-16,1788.2076416015625
2021-09-17,1778.2178955078125
2021-09-20,1788.2076416015625
2021-09-21,1783.212890625
2021-09-22,1832.1636962890625
2021-09-23,1926.0694580078125
2021-09-24,2103.891357421875
2021-09-27,1980.0155029296875
2021-09-28,1977.0186767578125
2021-09-29,1950.0455322265625
2021-09-30,1940.0556640625
2021-10-01,1953.04248046875
2021-10-04,1909.0867919921875
2021-10-05,1875.12060546875
2021-10-06,1832.1636962890625
2021-10-07,1867.128662109375
2021-10-08,1918.07763671875
2021-10-11,1883.11279296875
2021-10-12,1850.1455078125
2021-10-13,1866.1297607421875
2021-10-14,1942.053466796875
2021-10-15,2009.985595703125
2021-10-18,2023.9715576171875
2021-10-19,1997.997314453125
2021-10-20,2037.9573974609375
2021-10-21,2071.923095703125
2021-10-22,2043.951416015625
2021-10-25,2007.9874267578125
2021-10-26,1978.017578125
2021-10-27,1981.0146484375
2021-10-28,1938.0577392578125
2021-10-29,1943.0526123046875
2021-11-01,1937.0584716796875
2021-11-02,1958.0377197265625
2021-11-03,1951.04443359375
2021-11-04,1921.0745849609375
2021-11-05,1942.053466796875
2021-11-08,1917.0787353515625
2021-11-09,1903.092529296875
2021-11-10,1908.087646484375
2021-11-11,1905.090576171875
2021-11-12,927.07080078125
2021-11-15,1113.8836669921875
2021-11-16,1097.899658203125
2021-11-17,1134.862548828125
2021-11-18,1135.861572265625
2021-11-19,1127.86962890625
2021-11-22,1108.888671875
2021-11-23,1086.91064453125
2021-11-24,1088.9085693359375
2021-11-25,1107.8895263671875
2021-11-26,1077.9195556640625
2021-11-29,1073.923828125
2021-11-30,1070.9266357421875
2021-12-01,1081.9156494140625
2021-12-02,1062.9346923828125
2021-12-03,1056.9405517578125
2021-12-06,1068.9285888671875
2021-12-07,1064.9327392578125
2021-12-08,1070.9266357421875
2021-12-09,1059.937744140625
2021-12-10,1087.90966796875
2021-12-13,1068.9285888671875
2021-12-14,1076.920654296875
2021-12-15,915.0829467773438
2021-12-16,975.522216796875
2021-12-17,1123.8736572265625
2021-12-20,1163.83349609375
2021-12-21,1182.814453125
2021-12-22,1207.78955078125
2021-12-23,1147.8494873046875
2021-12-24,1118.87841796875
2021-12-29,1167.8294677734375
2021-12-30,1143.8533935546875
2021-12-31,1119.8775634765625
2022-01-04,1146.8507080078125
2022-01-05,1157.839599609375
2022-01-06,1209.7874755859375
2022-01-07,1206.79052734375
2022-01-10,1197.7994384765625
2022-01-11,1183.8133544921875
2022-01-12,1162.83447265625
2022-01-13,1158.838623046875
2022-01-14,1162.83447265625
2022-01-17,1169.82763671875
2022-01-18,1148.8486328125
2022-01-19,1074.9227294921875
2022-01-20,1076.920654296875
2022-01-21,1056.9405517578125
2022-01-24,1010.9867553710938
2022-01-25,1009.98779296875
2022-01-26,1048.94873046875
2022-01-27,1046.95068359375
2022-01-28,1108.888671875
2022-01-31,1133.863525390625
2022-02-01,1139.857666015625
2022-02-02,1116.880615234375
2022-02-03,1138.858642578125
2022-02-04,1123.8736572265625
2022-02-07,1101.895751953125
2022-02-08,1204.79248046875
2022-02-09,1173.8236083984375
2022-02-10,1143.0733642578125
2022-02-11,1150.0679931640625
2022-02-14,1149.0687255859375
2022-02-15,1139.076904296875
2022-02-16,1139.076904296875
2022-02-17,1110.100341796875
2022-02-18,1079.1253662109375
2022-02-21,1030.1651611328125
2022-02-22,1028.166748046875
2022-02-23,1022.171630859375
2022-02-24,1057.1431884765625
2022-02-25,1142.074462890625
2022-02-28,1246.9893798828125
2022-03-01,1248.9876708984375
2022-03-02,1260.978271484375
2022-03-03,1225.0072021484375
2022-03-04,1211.0185546875
2022-03-07,1190.035400390625
2022-03-08,1201.026611328125
2022-03-09,1221.0106201171875
2022-03-10,1211.0185546875
2022-03-11,1263.9757080078125
2022-03-14,1302.9442138671875
2022-03-15,1274.966796875
2022-03-16,1303.943359375
2022-03-17,1289.954345703125
2022-03-18,1298.947265625
2022-03-21,1289.954345703125
2022-03-22,1290.95361328125
2022-03-23,1308.9390869140625
2022-03-24,1308.9390869140625
2022-03-25,1317.9320068359375
2022-03-28,1324.926513671875
2022-03-29,1331.9205322265625
2022-03-30,1313.9351806640625
2022-03-31,1298.947265625
2022-04-01,1319.93017578125
2022-04-04,1379.8818359375
2022-04-05,1320.9293212890625
2022-04-06,1069.133544921875
2022-04-07,1156.0633544921875
2022-04-08,1181.0428466796875
2022-04-11,1110.100341796875
2022-04-12,1109.1011962890625
2022-04-13,1101.1075439453125
2022-04-14,1099.1092529296875
2022-04-19,1128.0858154296875
2022-04-20,1146.0712890625
2022-04-21,1136.079345703125
2022-04-22,1096.11181640625
2022-04-25,1076.1278076171875
2022-04-26,1056.14404296875
2022-04-27,1021.1724853515625
2022-04-28,1029.1658935546875
2022-04-29,1061.1400146484375
2022-05-03,1114.09716796875
