Date,CWK.L
2017-01-26,2285.087890625
2017-01-27,2275.104736328125
2017-01-30,2273.1083984375
2017-01-31,2312.041748046875
2017-02-01,2299.063720703125
2017-02-02,2296.069091796875
2017-02-03,2296.069091796875
2017-02-06,2293.073486328125
2017-02-07,2303.056884765625
2017-02-08,2326.01806640625
2017-02-09,2308.04833984375
2017-02-10,2315.03662109375
2017-02-13,2326.01806640625
2017-02-14,2333.005615234375
2017-02-15,2329.012939453125
2017-02-16,2312.041748046875
2017-02-17,2341.989990234375
2017-02-20,2349.9765625
2017-02-21,2344.98486328125
2017-02-22,2330.01123046875
2017-02-23,2323.022216796875
2017-02-24,2336.9990234375
2017-02-27,2306.0517578125
2017-02-28,2327.015625
2017-03-01,2329.012939453125
2017-03-02,2394.900146484375
2017-03-03,2413.86767578125
2017-03-06,2405.880615234375
2017-03-07,2378.927001953125
2017-03-08,2378.927001953125
2017-03-09,2387.911865234375
2017-03-10,2402.885498046875
2017-03-13,2406.87890625
2017-03-14,2437.826416015625
2017-03-15,2392.9033203125
2017-03-16,2372.9375
2017-03-17,2485.744384765625
2017-03-20,2429.83935546875
2017-03-21,2441.81982421875
2017-03-22,2428.84228515625
2017-03-23,2485.744384765625
2017-03-24,2508.704833984375
2017-03-27,2535.658935546875
2017-03-28,2546.64013671875
2017-03-29,2575.5908203125
2017-03-30,2555.62451171875
2017-03-31,2554.625732421875
2017-04-03,2560.6162109375
2017-04-04,2526.674072265625
2017-04-05,2581.580322265625
2017-04-06,2566.605712890625
2017-04-07,2573.59375
2017-04-10,2574.591796875
2017-04-11,2550.6328125
2017-04-12,2566.605712890625
2017-04-13,2573.59375
2017-04-18,2583.576171875
2017-04-19,2614.523193359375
2017-04-20,2584.5751953125
2017-04-21,2584.5751953125
2017-04-24,2597.552734375
2017-04-25,2585.573486328125
2017-04-26,2622.510498046875
2017-04-27,2670.42822265625
2017-04-28,2677.41552734375
2017-05-02,2675.419189453125
2017-05-03,2700.377197265625
2017-05-04,2720.342041015625
2017-05-05,2726.331787109375
2017-05-08,2717.34814453125
2017-05-09,2746.2978515625
2017-05-10,2765.265625
2017-05-11,2764.267333984375
2017-05-12,2763.268798828125
2017-05-15,2735.316650390625
2017-05-16,2794.21630859375
2017-05-17,2790.22265625
2017-05-18,2791.220703125
2017-05-19,2820.17138671875
2017-05-22,2820.17138671875
2017-05-23,2950.947509765625
2017-05-24,2994.8720703125
2017-05-25,2984.8896484375
2017-05-26,2925.989990234375
2017-05-30,2939.96630859375
2017-05-31,2959.93212890625
2017-06-01,2954.940185546875
2017-06-02,2999.864013671875
2017-06-05,2992.87548828125
2017-06-06,2974.90673828125
2017-06-07,2959.93212890625
2017-06-08,2969.915283203125
2017-06-09,2972.909912109375
2017-06-12,2944.95751953125
2017-06-13,2951.9462890625
2017-06-14,2977.9013671875
2017-06-15,2920.998779296875
2017-06-16,2969.915283203125
2017-06-19,2979.89794921875
2017-06-20,2962.927490234375
2017-06-21,2951.9462890625
2017-06-22,2930.98193359375
2017-06-23,2862.099853515625
2017-06-26,2895.043701171875
2017-06-27,2888.416015625
2017-06-28,2837.8701171875
2017-06-29,2785.53515625
2017-06-30,2799.512451171875
2017-07-03,2789.528564453125
2017-07-04,2768.5625
2017-07-05,2771.55712890625
2017-07-06,2751.58984375
2017-07-07,2779.544921875
2017-07-10,2795.519287109375
2017-07-11,2794.5205078125
2017-07-12,2792.524169921875
2017-07-13,2802.508056640625
2017-07-14,2798.514404296875
2017-07-17,2799.512451171875
2017-07-18,2797.51611328125
2017-07-19,2821.477294921875
2017-07-20,2829.465087890625
2017-07-21,2838.4501953125
2017-07-24,2929.30517578125
2017-07-25,2905.34326171875
2017-07-26,2912.33251953125
2017-07-27,2899.353515625
2017-07-28,2873.394775390625
2017-07-31,2897.356201171875
2017-08-01,2918.322265625
2017-08-02,2904.34423828125
2017-08-03,2936.293701171875
2017-08-04,2945.27880859375
2017-08-07,2949.27294921875
2017-08-08,2977.228271484375
2017-08-09,2989.20849609375
2017-08-10,2982.219970703125
2017-08-11,2969.24072265625
2017-08-14,2991.2060546875
2017-08-15,2989.20849609375
2017-08-16,2985.21484375
2017-08-17,2983.21875
2017-08-18,2941.28515625
2017-08-21,2967.243896484375
2017-08-22,2976.22900390625
2017-08-23,2983.21875
2017-08-24,2941.28515625
2017-08-25,2962.251953125
2017-08-29,2924.3125
2017-08-30,2961.253662109375
2017-08-31,2985.21484375
2017-09-01,2995.198974609375
2017-09-04,2989.20849609375
2017-09-05,2992.204345703125
2017-09-06,3010.1748046875
2017-09-07,2995.198974609375
2017-09-08,2970.239501953125
2017-09-11,2985.21484375
2017-09-12,2985.21484375
2017-09-13,2986.21337890625
2017-09-14,3003.18603515625
2017-09-15,2995.198974609375
2017-09-18,2981.221435546875
2017-09-19,2993.201904296875
2017-09-20,2974.23291015625
2017-09-21,2937.292236328125
2017-09-22,2960.25537109375
2017-09-25,2934.296630859375
2017-09-26,2930.302978515625
2017-09-27,2904.34423828125
2017-09-28,2915.3271484375
2017-09-29,2947.2763671875
2017-10-02,2985.21484375
2017-10-03,2987.21240234375
2017-10-04,3002.18798828125
2017-10-05,3031.141845703125
2017-10-06,3028.146484375
2017-10-09,3023.154052734375
2017-10-10,3025.151123046875
2017-10-11,3029.144287109375
2017-10-12,3033.13818359375
2017-10-13,3027.147705078125
2017-10-16,3015.167236328125
2017-10-17,3025.151123046875
2017-10-18,3035.135498046875
2017-10-19,3035.135498046875
2017-10-20,3038.130126953125
2017-10-23,3020.158935546875
2017-10-24,3037.132080078125
2017-10-25,3082.06005859375
2017-10-26,3085.055419921875
2017-10-27,3085.055419921875
2017-10-30,3070.0791015625
2017-10-31,3075.07080078125
2017-11-01,3086.053955078125
2017-11-02,3085.055419921875
2017-11-03,3105.023193359375
2017-11-06,3135.973876953125
2017-11-07,3135.973876953125
2017-11-08,3158.936767578125
2017-11-09,3135.973876953125
2017-11-10,3119.0009765625
2017-11-13,3098.03369140625
2017-11-14,3015.167236328125
2017-11-15,2976.22900390625
2017-11-16,2977.228271484375
2017-11-17,2989.20849609375
2017-11-20,2988.210693359375
2017-11-21,2987.21240234375
2017-11-22,2986.21337890625
2017-11-23,2997.196044921875
2017-11-24,3018.162109375
2017-11-27,3012.171875
2017-11-28,3270.757568359375
2017-11-29,3232.818603515625
2017-11-30,3213.8486328125
2017-12-01,3155.94189453125
2017-12-04,3119.0009765625
2017-12-05,3091.0458984375
2017-12-06,3050.111572265625
2017-12-07,3069.232421875
2017-12-08,3061.244140625
2017-12-11,3076.22119140625
2017-12-12,3103.17919921875
2017-12-13,3160.397705078125
2017-12-14,3183.055908203125
2017-12-15,3213.00830078125
2017-12-18,3264.928466796875
2017-12-19,3312.854248046875
2017-12-20,3270.91943359375
2017-12-21,3252.947021484375
2017-12-22,3238.968994140625
2017-12-27,3308.8603515625
2017-12-28,3331.82470703125
2017-12-29,3331.82470703125
2018-01-02,3280.90380859375
2018-01-03,3276.90966796875
2018-01-04,3296.878662109375
2018-01-05,3296.878662109375
2018-01-08,3294.88232421875
2018-01-09,3308.8603515625
2018-01-10,3256.941162109375
2018-01-11,3238.968994140625
2018-01-12,3222.992919921875
2018-01-15,3209.014892578125
2018-01-16,3215.005859375
2018-01-17,3207.018798828125
2018-01-18,3169.077392578125
2018-01-19,3165.083984375
2018-01-22,3155.09912109375
2018-01-23,3115.1611328125
2018-01-24,3079.21728515625
2018-01-25,3043.27294921875
2018-01-26,3045.269775390625
2018-01-29,3009.326171875
2018-01-30,3007.328369140625
2018-01-31,2933.443359375
2018-02-01,3093.195068359375
2018-02-02,3087.204833984375
2018-02-05,3025.300537109375
2018-02-06,2925.45556640625
