Date,REL.L
2019-06-17,1923.440673828125
2019-06-18,1932.4288330078125
2019-06-19,1912.4554443359375
2019-06-20,1937.92138671875
2019-06-21,1919.4461669921875
2019-06-24,1944.911865234375
2019-06-25,1939.9189453125
2019-06-26,1928.933349609375
2019-06-27,1913.4539794921875
2019-06-28,1906.9627685546875
2019-07-01,1929.4327392578125
2019-07-02,1958.8935546875
2019-07-03,1970.8775634765625
2019-07-04,1959.392822265625
2019-07-05,1942.41552734375
2019-07-08,1944.911865234375
2019-07-09,1959.392822265625
2019-07-10,1944.911865234375
2019-07-11,1949.406005859375
2019-07-12,1936.9227294921875
2019-07-15,1962.88818359375
2019-07-16,1962.388916015625
2019-07-17,1966.383544921875
2019-07-18,1932.4288330078125
2019-07-19,1937.4219970703125
2019-07-22,1939.4193115234375
2019-07-23,1944.911865234375
2019-07-24,1936.4234619140625
2019-07-25,1865.018310546875
2019-07-26,1931.9293212890625
2019-07-29,1975.3717041015625
2019-07-30,1972.8748779296875
2019-07-31,1950.904296875
2019-08-01,1961.02734375
2019-08-02,1916.58349609375
2019-08-05,1887.1207275390625
2019-08-06,1877.1328125
2019-08-07,1921.5771484375
2019-08-08,1935.060302734375
2019-08-09,1938.5557861328125
2019-08-12,1944.048828125
2019-08-13,1935.5596923828125
2019-08-14,1910.0916748046875
2019-08-15,1915.0853271484375
2019-08-16,1923.075439453125
2019-08-19,1945.0474853515625
2019-08-20,1926.0716552734375
2019-08-21,1956.03369140625
2019-08-22,1918.5809326171875
2019-08-23,1923.57470703125
2019-08-27,1946.5457763671875
2019-08-28,1956.03369140625
2019-08-29,1970.0162353515625
2019-08-30,1964.0238037109375
2019-09-02,2008.4676513671875
2019-09-03,2007.4688720703125
2019-09-04,1995.484130859375
2019-09-05,1937.5570068359375
2019-09-06,1965.521728515625
2019-09-09,1913.087890625
2019-09-10,1859.6552734375
2019-09-11,1869.143310546875
2019-09-12,1892.1143798828125
2019-09-13,1851.6654052734375
2019-09-16,1830.6917724609375
2019-09-17,1883.6251220703125
2019-09-18,1877.6326904296875
2019-09-19,1897.607421875
2019-09-20,1855.160888671875
2019-09-23,1877.1328125
2019-09-24,1891.6148681640625
2019-09-25,1882.126708984375
2019-09-26,1923.075439453125
2019-09-27,1932.5633544921875
2019-09-30,1930.0665283203125
2019-10-01,1904.09912109375
2019-10-02,1842.6767578125
2019-10-03,1820.205078125
2019-10-04,1854.661376953125
2019-10-07,1862.1519775390625
2019-10-08,1874.6361083984375
2019-10-09,1884.6236572265625
2019-10-10,1866.646484375
2019-10-11,1834.1873779296875
2019-10-14,1814.2127685546875
2019-10-15,1770.267822265625
2019-10-16,1793.2391357421875
2019-10-17,1782.7520751953125
2019-10-18,1737.3095703125
2019-10-21,1744.800048828125
2019-10-22,1759.78125
2019-10-23,1767.271728515625
2019-10-24,1837.682861328125
2019-10-25,1845.173583984375
2019-10-28,1849.16845703125
2019-10-29,1839.1810302734375
2019-10-30,1870.14208984375
2019-10-31,1855.6605224609375
2019-11-01,1856.6590576171875
2019-11-04,1840.1798095703125
2019-11-05,1827.1962890625
2019-11-06,1844.175048828125
2019-11-07,1843.1759033203125
2019-11-08,1847.67041015625
2019-11-11,1831.6905517578125
2019-11-12,1855.160888671875
2019-11-13,1853.6630859375
2019-11-14,1866.147216796875
2019-11-15,1846.67138671875
2019-11-18,1852.6640625
2019-11-19,1869.642333984375
2019-11-20,1842.6767578125
2019-11-21,1827.6956787109375
2019-11-22,1855.160888671875
2019-11-25,1881.1282958984375
2019-11-26,1877.6326904296875
2019-11-27,1874.136962890625
2019-11-28,1869.642333984375
2019-11-29,1870.641357421875
2019-12-02,1835.186279296875
2019-12-03,1809.2188720703125
2019-12-04,1813.7130126953125
2019-12-05,1801.228759765625
2019-12-06,1826.197265625
2019-12-09,1820.205078125
2019-12-10,1825.6982421875
2019-12-11,1810.716796875
2019-12-12,1811.7156982421875
2019-12-13,1802.2276611328125
2019-12-16,1868.14453125
2019-12-17,1885.123291015625
2019-12-18,1891.6148681640625
2019-12-19,1900.1043701171875
2019-12-20,1909.0927734375
2019-12-23,1917.082763671875
2019-12-24,1920.0791015625
2019-12-27,1923.57470703125
2019-12-30,1904.598388671875
2019-12-31,1903.1004638671875
2020-01-02,1900.6036376953125
