Date,FERG.L
2018-02-23,5503.13623046875
2018-02-26,5498.9208984375
2018-02-27,5465.19873046875
2018-02-28,5423.044921875
2018-03-01,5416.72119140625
2018-03-02,5372.46142578125
2018-03-05,5410.39892578125
2018-03-06,5437.798828125
2018-03-07,5509.4599609375
2018-03-08,5621.1669921875
2018-03-09,5604.3056640625
2018-03-12,5534.751953125
2018-03-13,5593.76611328125
2018-03-14,5530.537109375
2018-03-15,5585.33544921875
2018-03-16,5547.3984375
2018-03-19,5515.7822265625
2018-03-20,5555.82861328125
2018-03-21,5600.08935546875
2018-03-22,5490.490234375
2018-03-23,5496.81298828125
2018-03-26,5410.39892578125
2018-03-27,5772.919921875
2018-03-28,5732.87353515625
2018-03-29,5642.24365234375
2018-04-03,5543.18212890625
2018-04-04,5486.27490234375
2018-04-05,5583.6572265625
2018-04-06,5560.47216796875
2018-04-09,5556.25634765625
2018-04-10,5606.8447265625
2018-04-11,5566.794921875
2018-04-12,5592.08935546875
2018-04-13,5589.98193359375
2018-04-16,5560.47216796875
2018-04-17,5665.8623046875
2018-04-18,5708.02099609375
2018-04-19,5857.67626953125
2018-04-20,5933.5595703125
2018-04-23,5923.01953125
2018-04-24,5956.74462890625
2018-04-25,5861.892578125
2018-04-26,5880.86376953125
2018-04-27,5918.80419921875
2018-04-30,5880.86376953125
2018-05-01,5855.56884765625
2018-05-02,5893.51025390625
2018-05-03,5855.56884765625
2018-05-04,5870.32373046875
2018-05-08,5916.69580078125
2018-05-09,5916.69580078125
2018-05-10,5965.17626953125
2018-05-11,5960.9599609375
2018-05-14,5954.63818359375
2018-05-15,5977.82275390625
2018-05-16,5986.25537109375
2018-05-17,5992.5791015625
2018-05-18,6047.3818359375
2018-05-21,6146.44970703125
2018-05-22,6188.60791015625
2018-05-23,6121.15625
2018-05-24,6138.0185546875
2018-05-25,6129.58740234375
2018-05-29,6125.37158203125
2018-05-30,6156.98876953125
2018-05-31,6156.98876953125
2018-06-01,6209.68505859375
2018-06-04,6232.87109375
2018-06-05,6205.470703125
2018-06-06,6237.08740234375
2018-06-07,6203.3623046875
2018-06-08,6211.79345703125
2018-06-11,5990.689453125
2018-06-12,5977.708984375
2018-06-13,6035.6201171875
2018-06-14,6118.4912109375
2018-06-15,5933.77880859375
2018-06-18,5880.861328125
2018-06-19,5990.689453125
2018-06-20,6060.58056640625
2018-06-21,5998.6767578125
2018-06-22,6067.5703125
2018-06-25,5939.76904296875
2018-06-26,5972.71630859375
2018-06-27,6044.60595703125
2018-06-28,6053.591796875
2018-06-29,6140.4580078125
2018-07-02,6006.66552734375
2018-07-03,6028.63134765625
2018-07-04,6003.67041015625
2018-07-05,6021.640625
2018-07-06,6041.60986328125
2018-07-09,6091.5322265625
2018-07-10,6153.4375
2018-07-11,6071.56396484375
2018-07-12,6138.4599609375
2018-07-13,6228.3212890625
2018-07-16,6188.01025390625
2018-07-17,6189.38037109375
2018-07-18,6240.30322265625
2018-07-19,6265.2646484375
2018-07-20,6185.3876953125
2018-07-23,6130.47314453125
2018-07-24,6136.462890625
2018-07-25,6095.52685546875
2018-07-26,6101.517578125
2018-07-27,6064.5751953125
2018-07-30,6040.61181640625
2018-07-31,6000.67431640625
2018-08-01,5994.68359375
2018-08-02,5911.81298828125
2018-08-03,5970.7197265625
2018-08-06,6031.62646484375
2018-08-07,6093.53125
2018-08-08,6159.4267578125
2018-08-09,6184.388671875
2018-08-10,6145.4482421875
2018-08-13,6163.421875
2018-08-14,6231.31494140625
2018-08-15,6085.54296875
2018-08-16,6066.572265625
2018-08-17,6061.57958984375
2018-08-20,6059.58251953125
2018-08-21,6037.6171875
2018-08-22,6047.6005859375
2018-08-23,6119.4892578125
2018-08-24,6140.4580078125
2018-08-28,6206.3544921875
2018-08-29,6190.37890625
2018-08-30,6211.3466796875
2018-08-31,6171.40869140625
2018-09-03,6255.27880859375
2018-09-04,6235.3095703125
2018-09-05,6219.33349609375
2018-09-06,6266.26220703125
2018-09-07,6259.27099609375
2018-09-10,6291.22265625
2018-09-11,6304.20263671875
2018-09-12,6333.15625
2018-09-13,6294.21728515625
2018-09-14,6372.0966796875
2018-09-17,6360.11474609375
2018-09-18,6429.0087890625
2018-09-19,6472.93994140625
2018-09-20,6434.001953125
2018-09-21,6478.931640625
2018-09-24,6493.9072265625
2018-09-25,6534.84375
2018-09-26,6545.82666015625
2018-09-27,6544.828125
2018-09-28,6504.890625
2018-10-01,6518.869140625
2018-10-02,6073.560546875
2018-10-03,5962.732421875
2018-10-04,5973.7158203125
2018-10-05,5968.72412109375
2018-10-08,5828.94091796875
2018-10-09,5764.0419921875
2018-10-10,5460.513671875
2018-10-11,5558.36181640625
2018-10-12,5520.42041015625
2018-10-15,5483.478515625
2018-10-16,5650.21923828125
2018-10-17,5493.46240234375
2018-10-18,5342.6962890625
2018-10-19,5317.73583984375
2018-10-22,5326.72119140625
2018-10-23,5303.7578125
2018-10-24,5206.90771484375
2018-10-25,5176.97314453125
2018-10-26,4983.73486328125
2018-10-29,5162.9921875
2018-10-30,5153.00537109375
2018-10-31,5275.837890625
2018-11-01,5292.8154296875
2018-11-02,5317.78173828125
2018-11-05,5246.87744140625
2018-11-06,5185.96142578125
2018-11-07,5272.84228515625
2018-11-08,5251.87109375
2018-11-09,5172.9775390625
2018-11-12,5141.02099609375
2018-11-13,5179.9697265625
2018-11-14,5040.1591796875
2018-11-15,5078.107421875
2018-11-16,4962.263671875
2018-11-19,4883.37060546875
2018-11-20,4781.509765625
2018-11-21,4742.5625
2018-11-22,4744.56005859375
2018-11-23,4846.42138671875
2018-11-26,4876.88037109375
2018-11-27,4810.47119140625
2018-11-28,4900.34765625
2018-11-29,5045.15234375
2018-11-30,5013.1953125
2018-12-03,5191.95263671875
2018-12-04,4968.75537109375
2018-12-05,4927.31103515625
2018-12-06,4770.0263671875
2018-12-07,4818.9599609375
2018-12-10,4802.98095703125
2018-12-11,4953.2763671875
2018-12-12,5044.1533203125
2018-12-13,5004.20751953125
2018-12-14,4936.79833984375
2018-12-17,4878.3779296875
2018-12-18,4938.79541015625
2018-12-19,4988.2294921875
2018-12-20,4952.77685546875
2018-12-21,4883.37060546875
2018-12-24,4878.87744140625
2018-12-27,4854.9111328125
2018-12-28,4961.76416015625
2018-12-31,5010.19921875
2019-01-02,4987.73046875
2019-01-03,4866.39599609375
2019-01-04,5113.06005859375
2019-01-07,5043.15380859375
2019-01-08,5218.91552734375
2019-01-09,5231.8984375
2019-01-10,5267.85009765625
2019-01-11,5302.8017578125
2019-01-14,5235.8935546875
2019-01-15,5246.87744140625
2019-01-16,5264.85400390625
2019-01-17,5215.919921875
2019-01-18,5313.7861328125
2019-01-21,5352.734375
2019-01-22,5296.81005859375
2019-01-23,5116.0556640625
2019-01-24,5053.14111328125
2019-01-25,5067.12255859375
2019-01-28,5063.12646484375
2019-01-29,5061.1298828125
2019-01-30,5134.03125
2019-01-31,5087.0947265625
2019-02-01,5156.0009765625
2019-02-04,5142.01953125
2019-02-05,5274.83935546875
2019-02-06,5285.82470703125
2019-02-07,5268.8486328125
2019-02-08,5254.86669921875
2019-02-11,5353.73291015625
2019-02-12,5310.79150390625
2019-02-13,5377.70068359375
2019-02-14,5402.66552734375
2019-02-15,5465.58154296875
2019-02-18,5446.6064453125
2019-02-19,5350.73681640625
2019-02-20,5386.68798828125
2019-02-21,5361.7216796875
2019-02-22,5377.70068359375
2019-02-25,5372.70751953125
2019-02-26,5272.84228515625
2019-02-27,5230.90087890625
2019-02-28,5213.92236328125
2019-03-01,5275.837890625
2019-03-04,5308.794921875
2019-03-05,5346.74365234375
2019-03-06,5334.75830078125
2019-03-07,5268.8486328125
2019-03-08,5269.84716796875
2019-03-11,5271.84423828125
2019-03-12,5296.81005859375
2019-03-13,5280.83154296875
2019-03-14,5309.79248046875
2019-03-15,5321.7783203125
2019-03-18,5330.76513671875
2019-03-19,5372.70751953125
2019-03-20,5320.779296875
2019-03-21,5347.74169921875
2019-03-22,5261.85791015625
2019-03-25,5162.9921875
2019-03-26,4793.49365234375
2019-03-27,4872.38671875
2019-03-28,4855.9091796875
2019-03-29,4877.3798828125
2019-04-01,4954.27587890625
2019-04-02,5061.1298828125
2019-04-03,5214.921875
2019-04-04,5193.4296875
2019-04-05,5247.361328125
2019-04-08,5233.37939453125
2019-04-09,5195.42822265625
2019-04-10,5239.37109375
2019-04-11,5309.28466796875
2019-04-12,5323.2646484375
2019-04-15,5393.17626953125
2019-04-16,5395.1748046875
2019-04-17,5395.1748046875
2019-04-18,5393.17626953125
2019-04-23,5411.15380859375
2019-04-24,5403.1640625
2019-04-25,5441.1162109375
2019-04-26,5429.1318359375
2019-04-29,5443.11474609375
2019-04-30,5433.12744140625
2019-05-01,5417.1474609375
2019-05-02,5423.138671875
2019-05-03,5445.11181640625
2019-05-07,5389.18310546875
2019-05-08,5443.11474609375
2019-05-09,5353.22705078125
2019-05-10,5507.03271484375
