Date,BKG.L
2020-11-20,4956.32275390625
2020-11-23,4985.3134765625
2020-11-24,4943.89892578125
2020-11-25,4912.837890625
2020-11-26,4848.64501953125
2020-11-27,4850.71484375
2020-11-30,4787.5576171875
2020-12-01,5061.93115234375
2020-12-02,4919.04931640625
2020-12-03,5024.65869140625
2020-12-04,4932.509765625
2020-12-07,4577.376953125
2020-12-08,4457.2734375
2020-12-09,4504.9013671875
2020-12-10,4380.65673828125
2020-12-11,4349.595703125
2020-12-14,4477.9814453125
2020-12-15,4560.8115234375
2020-12-16,4607.40380859375
2020-12-17,4608.43896484375
2020-12-18,4530.78564453125
2020-12-21,4488.33447265625
2020-12-22,4587.7314453125
2020-12-23,4802.05224609375
2020-12-24,4882.81201171875
2020-12-29,5010.16259765625
2020-12-30,5013.26904296875
2020-12-31,4909.7314453125
2021-01-04,4861.06884765625
2021-01-05,4884.88232421875
2021-01-06,4942.86376953125
2021-01-07,4897.30712890625
2021-01-08,4904.55419921875
2021-01-11,4801.017578125
2021-01-12,4691.267578125
2021-01-13,4625.00439453125
2021-01-14,4636.39404296875
2021-01-15,4625.00439453125
2021-01-18,4625.00439453125
2021-01-19,4613.615234375
2021-01-20,4623.9697265625
2021-01-21,4603.26171875
2021-01-22,4609.474609375
2021-01-25,4579.4482421875
2021-01-26,4591.8720703125
2021-01-27,4452.09716796875
2021-01-28,4451.0615234375
2021-01-29,4337.17138671875
2021-02-01,4502.830078125
2021-02-02,4538.03271484375
2021-02-03,4505.9365234375
2021-02-04,4519.396484375
2021-02-05,4506.97216796875
