Date,GE
2020-03-30,38.37599563598633
2020-03-31,38.619178771972656
2020-04-01,34.2416877746582
2020-04-02,33.560752868652344
2020-04-03,32.733882904052734
2020-04-06,35.165836334228516
2020-04-07,34.19305419921875
2020-04-08,35.50630187988281
2020-04-09,34.728084564208984
2020-04-13,34.1444206237793
2020-04-14,33.7066650390625
2020-04-15,31.615203857421875
2020-04-16,30.35059356689453
2020-04-17,33.2689323425293
2020-04-20,31.663841247558594
2020-04-21,31.517929077148438
2020-04-22,31.274730682373047
2020-04-23,31.712474822998047
2020-04-24,30.447872161865234
2020-04-27,31.274730682373047
2020-04-28,33.07436752319336
2020-04-29,32.00431442260742
2020-04-30,33.07436752319336
2020-05-01,31.615203857421875
2020-05-04,30.20467758178711
2020-05-05,30.15604019165039
2020-05-06,29.08598518371582
2020-05-07,29.718286514282227
2020-05-08,30.59379005432129
2020-05-11,30.107404708862305
2020-05-12,29.183263778686523
2020-05-13,28.161853790283203
2020-05-14,27.72409439086914
2020-05-15,26.70268440246582
2020-05-18,30.49651527404785
2020-05-19,30.20467758178711
2020-05-20,31.226091384887695
2020-05-21,31.517929077148438
2020-05-22,31.177452087402344
2020-05-26,33.07436752319336
2020-05-27,35.457672119140625
2020-05-28,32.977088928222656
2020-05-29,31.955677032470703
2020-06-01,32.87981033325195
2020-06-02,34.29032897949219
2020-06-03,35.79814529418945
2020-06-04,37.64641571044922
2020-06-05,38.327354431152344
2020-06-08,41.148399353027344
2020-06-09,39.008304595947266
2020-06-10,37.01411056518555
2020-06-11,33.80393981933594
2020-06-12,35.263126373291016
2020-06-15,35.2144775390625
2020-06-16,36.333160400390625
2020-06-17,35.2144775390625
2020-06-18,35.409027099609375
2020-06-19,34.77671432495117
2020-06-22,34.2416877746582
2020-06-23,34.04713821411133
2020-06-24,31.76112174987793
2020-06-25,32.490699768066406
2020-06-26,31.565183639526367
2020-06-29,33.12395477294922
2020-06-30,33.27009582519531
2020-07-01,32.8316764831543
2020-07-02,33.221370697021484
