Date,ITV.L
2017-06-16,178.13169860839844
2017-06-19,176.93621826171875
2017-06-20,175.14295959472656
2017-06-21,177.8328399658203
2017-06-22,176.2388153076172
2017-06-23,182.11680603027344
2017-06-26,184.14218139648438
2017-06-27,180.61741638183594
2017-06-28,182.21640014648438
2017-06-29,182.11680603027344
2017-06-30,180.7220001220703
2017-07-03,179.4268798828125
2017-07-04,180.22386169433594
2017-07-05,180.82164001464844
2017-07-06,181.22012329101562
2017-07-07,175.93995666503906
2017-07-10,176.8365936279297
2017-07-11,176.8365936279297
2017-07-12,176.7369384765625
2017-07-13,176.63735961914062
2017-07-14,174.34593200683594
2017-07-17,176.63735961914062
2017-07-18,175.04331970214844
2017-07-19,176.13919067382812
2017-07-20,178.2313690185547
2017-07-21,176.53773498535156
2017-07-24,174.8440704345703
2017-07-25,175.2425537109375
2017-07-26,179.52647399902344
2017-07-27,176.7369384765625
2017-07-28,173.05079650878906
2017-07-31,172.35340881347656
2017-08-01,170.85902404785156
2017-08-02,175.14295959472656
2017-08-03,175.34219360351562
2017-08-04,174.8440704345703
2017-08-07,174.0470428466797
2017-08-08,174.34593200683594
2017-08-09,170.85902404785156
2017-08-10,168.5675811767578
2017-08-11,168.766845703125
2017-08-14,168.46798706054688
2017-08-15,169.26499938964844
2017-08-16,168.86647033691406
2017-08-17,168.766845703125
2017-08-18,166.07696533203125
2017-08-21,166.2761993408203
2017-08-22,165.0806884765625
2017-08-23,161.9922637939453
2017-08-24,161.0956268310547
2017-08-25,160.2986297607422
2017-08-29,152.4281768798828
2017-08-30,156.31358337402344
2017-08-31,158.0072479248047
2017-09-01,156.1143341064453
2017-09-04,155.81541442871094
2017-09-05,155.6161651611328
2017-09-06,158.80422973632812
2017-09-07,161.39453125
2017-09-08,159.99977111816406
2017-09-11,159.99977111816406
2017-09-12,160.49789428710938
2017-09-13,157.7083282470703
2017-09-14,155.4169464111328
2017-09-15,157.6087188720703
2017-09-18,157.01097106933594
2017-09-19,157.21022033691406
2017-09-20,161.59376525878906
2017-09-21,166.2761993408203
2017-09-22,165.678466796875
2017-09-25,168.06948852539062
2017-09-26,168.3683319091797
2017-09-27,169.4642791748047
2017-09-28,168.06948852539062
2017-09-29,174.0470428466797
2017-10-02,172.65228271484375
2017-10-03,174.0470428466797
2017-10-04,176.0395965576172
2017-10-05,178.0321044921875
2017-10-06,177.03587341308594
2017-10-09,177.23507690429688
2017-10-10,175.6410675048828
2017-10-11,173.05079650878906
2017-10-12,173.94744873046875
2017-10-13,171.95489501953125
2017-10-16,173.4492950439453
2017-10-17,172.85154724121094
2017-10-18,178.0321044921875
2017-10-19,175.7406768798828
2017-10-20,174.24630737304688
2017-10-23,171.2575225830078
2017-10-24,171.45677185058594
2017-10-25,169.4642791748047
2017-10-26,167.69583129882812
2017-10-27,163.41127014160156
2017-10-30,165.10516357421875
2017-10-31,163.90945434570312
2017-11-01,161.41842651367188
2017-11-02,160.22276306152344
2017-11-03,159.2263641357422
2017-11-06,156.9346160888672
2017-11-07,157.7317352294922
2017-11-08,160.82058715820312
2017-11-09,155.8385467529297
2017-11-10,156.2371368408203
2017-11-13,153.44715881347656
2017-11-14,149.4615020751953
2017-11-15,150.0593719482422
2017-11-16,149.7604217529297
2017-11-17,149.95973205566406
2017-11-20,148.06654357910156
2017-11-21,146.37261962890625
2017-11-22,148.2658233642578
