Date,M&M.NS
2019-12-17,480.5178527832031
2019-12-18,496.4765930175781
2019-12-19,508.5879821777344
2019-12-20,504.0284118652344
2019-12-23,499.5638732910156
2019-12-24,501.08367919921875
2019-12-26,501.8910827636719
2019-12-27,503.6010437011719
2019-12-30,510.01300048828125
2019-12-31,504.9308776855469
2020-01-01,509.7279357910156
2020-01-02,512.8151245117188
2020-01-03,506.0708312988281
2020-01-06,498.2339172363281
2020-01-07,500.27618408203125
2020-01-08,498.3763732910156
2020-01-09,514.1450805664062
2020-01-10,519.2271118164062
2020-01-13,527.1589965820312
2020-01-14,534.3309326171875
2020-01-15,541.2178344726562
2020-01-16,539.0330200195312
2020-01-17,540.7904052734375
2020-01-20,538.7955322265625
2020-01-21,525.1166381835938
2020-01-22,525.8765869140625
2020-01-23,538.130615234375
2020-01-24,539.3179931640625
2020-01-27,549.339599609375
2020-01-28,543.8301391601562
2020-01-29,548.8172607421875
2020-01-30,539.4130249023438
2020-01-31,538.7481689453125
2020-02-03,530.7212524414062
2020-02-04,548.0098266601562
2020-02-05,555.0867309570312
2020-02-06,551.0971069335938
2020-02-07,540.6004028320312
2020-02-10,501.93865966796875
2020-02-11,497.8064270019531
2020-02-12,504.40838623046875
2020-02-13,506.8780822753906
2020-02-14,496.8089904785156
2020-02-17,496.5715637207031
2020-02-18,496.99896240234375
2020-02-19,500.0388488769531
2020-02-20,498.5663146972656
2020-02-24,487.4997863769531
2020-02-25,483.46258544921875
2020-02-26,477.810546875
2020-02-27,468.7863464355469
2020-02-28,434.16168212890625
2020-03-02,435.3490905761719
2020-03-03,442.90093994140625
2020-03-04,450.88031005859375
2020-03-05,455.29742431640625
2020-03-06,447.4131164550781
2020-03-09,440.00372314453125
2020-03-11,428.984619140625
2020-03-12,402.1493225097656
2020-03-13,407.3739318847656
2020-03-16,372.1793212890625
2020-03-17,354.7007141113281
2020-03-18,329.0528259277344
2020-03-19,298.46539306640625
2020-03-20,306.4447021484375
2020-03-23,278.70703125
2020-03-24,255.52891540527344
2020-03-25,263.93572998046875
2020-03-26,271.2026672363281
2020-03-27,279.75189208984375
2020-03-30,260.65850830078125
2020-03-31,270.68017578125
2020-04-01,259.1861572265625
2020-04-03,266.6429748535156
2020-04-07,304.92486572265625
2020-04-08,310.0544128417969
2020-04-09,362.30010986328125
2020-04-13,344.6791076660156
2020-04-15,335.46478271484375
2020-04-16,338.8370666503906
2020-04-17,345.01153564453125
2020-04-20,338.02960205078125
2020-04-21,315.42144775390625
2020-04-22,323.1633605957031
2020-04-23,330.0977478027344
2020-04-24,317.55877685546875
2020-04-27,313.75909423828125
2020-04-28,319.1261901855469
2020-04-29,330.57275390625
2020-04-30,348.2887268066406
2020-05-04,339.16949462890625
2020-05-05,349.7136535644531
2020-05-06,367.7621765136719
2020-05-07,380.58612060546875
2020-05-08,367.3346862792969
2020-05-11,370.56439208984375
2020-05-12,373.3666687011719
2020-05-13,392.3651428222656
2020-05-14,380.3961181640625
2020-05-15,362.2051086425781
2020-05-18,358.3104248046875
2020-05-19,363.7250061035156
2020-05-20,384.7657470703125
2020-05-21,387.8529968261719
2020-05-22,404.99908447265625
2020-05-26,407.65887451171875
2020-05-27,410.8410949707031
2020-05-28,418.345458984375
2020-05-29,414.4983215332031
2020-06-01,438.0088806152344
2020-06-02,439.6712341308594
2020-06-03,460.8070068359375
2020-06-04,454.4900207519531
2020-06-05,459.95208740234375
2020-06-08,447.27056884765625
2020-06-09,454.7749938964844
2020-06-10,448.4104919433594
2020-06-11,450.7853088378906
2020-06-12,482.9876708984375
2020-06-15,482.7026672363281
2020-06-16,481.372802734375
2020-06-17,472.6810302734375
2020-06-18,481.2303161621094
2020-06-19,475.00830078125
2020-06-22,473.7734069824219
2020-06-23,490.5395202636719
2020-06-24,489.5421142578125
2020-06-25,481.8477783203125
2020-06-26,476.29071044921875
2020-06-29,482.03778076171875
2020-06-30,485.1250305175781
2020-07-01,473.96343994140625
2020-07-02,503.17352294921875
2020-07-03,503.9334411621094
2020-07-06,541.9777221679688
2020-07-07,531.9561157226562
2020-07-08,523.644287109375
2020-07-09,532.2411499023438
2020-07-10,527.06396484375
2020-07-13,528.0139770507812
2020-07-14,517.8972778320312
2020-07-15,522.5994262695312
2020-07-16,544.6367797851562
2020-07-17,561.7132568359375
2020-07-20,566.6740112304688
2020-07-21,561.2362060546875
2020-07-22,564.7660522460938
2020-07-23,575.5938720703125
2020-07-24,571.1578369140625
2020-07-27,567.0556640625
2020-07-28,591.8118286132812
2020-07-29,577.0248413085938
2020-07-30,570.8238525390625
2020-07-31,578.5513305664062
2020-08-03,569.67919921875
2020-08-04,574.87841796875
2020-08-05,585.9925537109375
2020-08-06,581.6040649414062
2020-08-07,572.827392578125
2020-08-10,599.9685668945312
2020-08-11,600.5885620117188
2020-08-12,605.7401733398438
2020-08-13,602.4012451171875
2020-08-14,586.183349609375
2020-08-17,594.912353515625
2020-08-18,594.006103515625
2020-08-19,595.1985473632812
2020-08-20,583.8937377929688
2020-08-21,581.7472534179688
2020-08-24,574.25830078125
2020-08-25,581.31787109375
2020-08-26,585.1339111328125
2020-08-27,607.4573974609375
2020-08-28,602.3535766601562
2020-08-31,578.980712890625
2020-09-01,579.6007080078125
2020-09-02,613.181396484375
2020-09-03,614.9939575195312
2020-09-04,602.9259033203125
2020-09-07,582.3672485351562
2020-09-08,580.6024169921875
2020-09-09,585.6586303710938
2020-09-10,587.1372680664062
2020-09-11,585.9925537109375
2020-09-14,586.994140625
2020-09-15,585.2293090820312
2020-09-16,610.0332641601562
2020-09-17,607.5050659179688
2020-09-18,624.0569458007812
2020-09-21,593.8152465820312
2020-09-22,587.4711303710938
2020-09-23,584.4183349609375
2020-09-24,548.6434936523438
2020-09-25,565.05224609375
2020-09-28,586.9464721679688
2020-09-29,584.9907836914062
2020-09-30,579.9346313476562
2020-10-01,582.0811767578125
2020-10-05,579.0759887695312
2020-10-06,598.5374755859375
2020-10-07,602.5443115234375
2020-10-08,604.9769897460938
2020-10-09,604.07080078125
2020-10-12,605.2155151367188
2020-10-13,599.0145263671875
2020-10-14,595.1508178710938
2020-10-15,588.9021606445312
2020-10-16,578.7421264648438
2020-10-19,569.9652709960938
2020-10-20,574.5445556640625
2020-10-21,573.2089233398438
2020-10-22,576.5479125976562
2020-10-23,596.39111328125
2020-10-26,569.67919921875
2020-10-27,569.67919921875
2020-10-28,576.3571166992188
2020-10-29,564.7183227539062
2020-10-30,566.6740112304688
2020-11-02,568.6296997070312
2020-11-03,568.3912353515625
2020-11-04,569.3452758789062
