Date,PPH.L
2022-08-22,1418.996337890625
2022-08-23,1418.996337890625
2022-08-24,1428.989501953125
2022-08-25,1418.996337890625
2022-08-26,1438.982421875
2022-08-30,1414.0001220703125
2022-08-31,1404.0072021484375
2022-09-01,1389.0177001953125
2022-09-02,1414.0001220703125
2022-09-05,1404.0072021484375
2022-09-06,1399.0106201171875
2022-09-07,1399.0106201171875
2022-09-08,1418.996337890625
2022-09-09,1433.9859619140625
2022-09-12,1428.989501953125
2022-09-13,1359.0389404296875
2022-09-14,1374.0283203125
2022-09-15,1379.054931640625
2022-09-16,1369.061767578125
2022-09-20,1329.0892333984375
2022-09-21,1349.075439453125
2022-09-22,1389.0479736328125
2022-09-23,1344.078857421875
2022-09-26,1309.1029052734375
2022-09-27,1324.092529296875
2022-09-28,1379.054931640625
2022-09-29,1399.0411376953125
2022-09-30,1389.0479736328125
2022-10-03,1379.054931640625
2022-10-04,1399.0411376953125
2022-10-05,1349.075439453125
2022-10-06,1359.068603515625
2022-10-07,1369.061767578125
2022-10-10,1399.0411376953125
2022-10-11,1364.065185546875
2022-10-12,1299.109619140625
2022-10-13,1264.1337890625
2022-10-14,1239.1507568359375
2022-10-17,1244.1474609375
2022-10-18,1224.1610107421875
2022-10-19,1249.14404296875
2022-10-20,1199.1781005859375
2022-10-21,1199.1781005859375
2022-10-24,1194.181640625
2022-10-25,1179.19189453125
2022-10-26,1214.16796875
2022-10-27,1239.1507568359375
2022-10-28,1199.1781005859375
2022-10-31,1259.1370849609375
2022-11-01,1274.1268310546875
2022-11-02,1249.14404296875
2022-11-03,1259.1370849609375
2022-11-04,1269.1302490234375
2022-11-07,1299.109619140625
2022-11-08,1274.1268310546875
2022-11-09,1269.1302490234375
2022-11-10,1269.1302490234375
2022-11-11,1264.1337890625
2022-11-14,1234.154296875
2022-11-15,1264.1337890625
2022-11-16,1264.1337890625
2022-11-17,1229.1575927734375
2022-11-18,1264.1337890625
2022-11-21,1259.1370849609375
2022-11-22,1259.1370849609375
2022-11-23,1264.1337890625
2022-11-24,1264.1337890625
2022-11-25,1259.1370849609375
2022-11-28,1264.1337890625
2022-11-29,1239.1507568359375
2022-11-30,1239.1507568359375
2022-12-01,1234.154296875
2022-12-02,1244.1474609375
2022-12-05,1224.1610107421875
2022-12-06,1234.154296875
2022-12-07,1219.1644287109375
2022-12-08,1224.1610107421875
2022-12-09,1201.6766357421875
2022-12-12,1209.1712646484375
2022-12-13,1204.1748046875
2022-12-14,1194.181640625
2022-12-15,1209.1712646484375
2022-12-16,1204.1748046875
2022-12-19,1179.19189453125
2022-12-20,1179.19189453125
2022-12-21,1179.19189453125
2022-12-22,1189.1849365234375
2022-12-23,1184.1885986328125
2022-12-28,1189.1849365234375
2022-12-29,1189.1849365234375
2022-12-30,1259.1370849609375
2023-01-03,1194.181640625
2023-01-04,1204.1748046875
2023-01-05,1199.1781005859375
2023-01-06,1194.181640625
2023-01-09,1199.1781005859375
2023-01-10,1149.21240234375
2023-01-11,1099.24658203125
2023-01-12,1089.25341796875
2023-01-13,1049.281005859375
2023-01-16,1149.21240234375
2023-01-17,1129.22607421875
2023-01-18,1124.2294921875
2023-01-19,1129.22607421875
2023-01-20,1139.21923828125
2023-01-23,1144.2159423828125
2023-01-24,1159.2056884765625
2023-01-25,1154.208984375
2023-01-26,1239.1507568359375
2023-01-27,1234.154296875
2023-01-30,1294.1131591796875
2023-01-31,1269.1302490234375
2023-02-01,1269.1302490234375
2023-02-02,1284.1197509765625
2023-02-03,1294.1131591796875
2023-02-06,1309.1029052734375
2023-02-07,1309.1029052734375
2023-02-08,1289.1165771484375
2023-02-09,1279.12353515625
2023-02-10,1249.14404296875
2023-02-13,1214.16796875
2023-02-14,1154.208984375
2023-02-15,1129.22607421875
2023-02-16,1099.24658203125
2023-02-17,1054.2774658203125
2023-02-20,1059.2740478515625
2023-02-21,1029.2945556640625
2023-02-22,1019.301513671875
2023-02-23,1024.298095703125
2023-02-24,1029.2945556640625
2023-02-27,1049.281005859375
2023-02-28,1099.24658203125
2023-03-01,1119.2330322265625
2023-03-02,1159.2056884765625
2023-03-03,1249.14404296875
2023-03-06,1234.154296875
2023-03-07,1204.1748046875
2023-03-08,1184.1885986328125
2023-03-09,1224.1610107421875
2023-03-10,1204.1748046875
2023-03-13,1124.2294921875
2023-03-14,1184.1885986328125
2023-03-15,1219.1644287109375
2023-03-16,1194.181640625
2023-03-17,1194.181640625
2023-03-20,1174.1953125
2023-03-21,1179.19189453125
2023-03-22,1164.2021484375
2023-03-23,1189.1849365234375
2023-03-24,1149.21240234375
2023-03-27,1139.21923828125
2023-03-28,1129.22607421875
2023-03-29,1139.21923828125
2023-03-30,1119.2330322265625
2023-03-31,1149.21240234375
2023-04-03,1139.21923828125
2023-04-04,1159.2056884765625
2023-04-05,1139.21923828125
2023-04-06,1129.22607421875
2023-04-11,1134.2227783203125
2023-04-12,1129.22607421875
2023-04-13,1109.2398681640625
2023-04-14,1124.2294921875
2023-04-17,1109.2398681640625
2023-04-18,1124.2294921875
2023-04-19,1124.2294921875
2023-04-20,1119.2330322265625
2023-04-21,1114.2362060546875
2023-04-24,1119.2330322265625
2023-04-25,1129.22607421875
2023-04-26,1139.21923828125
2023-04-27,1134.3421630859375
2023-04-28,1124.347900390625
2023-05-02,1129.344970703125
2023-05-03,1119.350830078125
2023-05-04,1094.3653564453125
2023-05-05,1099.3623046875
2023-05-09,1084.37109375
2023-05-10,1094.3653564453125
2023-05-11,1094.3653564453125
2023-05-12,1079.3740234375
2023-05-15,1089.3681640625
2023-05-16,1074.376953125
2023-05-17,1079.3740234375
2023-05-18,1074.376953125
2023-05-19,1094.3653564453125
2023-05-22,1099.3623046875
2023-05-23,1109.356689453125
2023-05-24,1089.3681640625
2023-05-25,1099.3623046875
2023-05-26,1089.3681640625
2023-05-30,1079.3740234375
2023-05-31,1084.37109375
2023-06-01,1079.3740234375
2023-06-02,1084.37109375
2023-06-05,1089.3681640625
2023-06-06,1074.376953125
2023-06-07,1084.37109375
2023-06-08,1089.3681640625
2023-06-09,1084.37109375
2023-06-12,1074.376953125
2023-06-13,1049.3914794921875
2023-06-14,1054.388427734375
2023-06-15,1084.37109375
2023-06-16,1079.3740234375
2023-06-19,1069.3797607421875
2023-06-20,1074.376953125
2023-06-21,1074.376953125
2023-06-22,1049.3914794921875
2023-06-23,1049.3914794921875
2023-06-26,1064.3826904296875
2023-06-27,1049.3914794921875
2023-06-28,1054.388427734375
2023-06-29,1119.350830078125
2023-06-30,1119.350830078125
2023-07-03,1109.356689453125
2023-07-04,1089.3681640625
2023-07-05,1099.3623046875
2023-07-06,1094.3653564453125
2023-07-07,1094.3653564453125
2023-07-10,1094.3653564453125
2023-07-11,1101.86083984375
2023-07-12,1104.359375
2023-07-13,1079.3740234375
2023-07-14,1074.376953125
2023-07-17,1074.376953125
2023-07-18,1039.3970947265625
2023-07-19,1044.394287109375
2023-07-20,1049.3914794921875
2023-07-21,1049.3914794921875
2023-07-24,1039.3970947265625
2023-07-25,1039.3970947265625
2023-07-26,1049.3914794921875
2023-07-27,1039.3970947265625
2023-07-28,1034.400146484375
2023-07-31,1024.4058837890625
2023-08-01,1004.4174194335938
2023-08-02,1009.4146118164062
2023-08-03,1009.4146118164062
2023-08-04,1034.400146484375
2023-08-07,1034.400146484375
2023-08-08,1044.394287109375
2023-08-09,1034.400146484375
2023-08-10,1014.4116821289062
2023-08-11,1014.4116821289062
2023-08-14,1014.4116821289062
2023-08-15,1019.4087524414062
2023-08-16,1019.4087524414062
2023-08-17,1024.4058837890625
2023-08-18,1019.4087524414062
2023-08-21,1004.4174194335938
2023-08-22,1014.4116821289062
2023-08-23,1029.4029541015625
2023-08-24,1019.4087524414062
2023-08-25,1024.4058837890625
2023-08-29,1034.400146484375
2023-08-30,1079.3740234375
2023-08-31,1089.3681640625
2023-09-01,1109.356689453125
2023-09-04,1099.3623046875
2023-09-05,1104.359375
2023-09-06,1074.376953125
2023-09-07,1094.3653564453125
2023-09-08,1089.3681640625
2023-09-11,1074.376953125
2023-09-12,1049.3914794921875
2023-09-13,1069.3797607421875
2023-09-14,1074.376953125
2023-09-15,1079.3740234375
2023-09-18,1069.3797607421875
2023-09-19,1049.3914794921875
2023-09-20,1074.376953125
2023-09-21,1064.3826904296875
2023-09-22,1044.394287109375
2023-09-25,1059.3856201171875
2023-09-26,1049.3914794921875
2023-09-27,1059.3856201171875
