Date,RMV.L
2022-04-11,634.8525390625
2022-04-12,641.0491943359375
2022-04-13,641.6487426757812
2022-04-14,636.8515625
2022-04-19,623.0589599609375
2022-04-20,635.652099609375
2022-04-21,626.6571044921875
2022-04-22,620.6603393554688
2022-04-25,625.2578125
2022-04-26,607.8673095703125
2022-04-27,605.2686767578125
2022-04-28,614.1126098632812
2022-04-29,618.11083984375
2022-05-03,614.1126098632812
2022-05-04,605.5166625976562
2022-05-05,604.1173095703125
2022-05-06,558.53857421875
2022-05-09,539.7474365234375
2022-05-10,533.1505126953125
2022-05-11,547.943603515625
2022-05-12,557.93896484375
2022-05-13,562.9365844726562
2022-05-16,560.7376098632812
2022-05-17,567.1345825195312
2022-05-18,555.3401489257812
2022-05-19,542.9459228515625
2022-05-20,556.9393920898438
2022-05-23,563.5362548828125
2022-05-24,556.53955078125
2022-05-25,570.9327392578125
2022-05-26,586.5255126953125
2022-05-27,595.5213012695312
2022-05-30,597.3203735351562
2022-05-31,600.5189819335938
2022-06-01,586.3256225585938
2022-06-06,593.522216796875
2022-06-07,573.3317260742188
2022-06-08,575.9305419921875
2022-06-09,564.73583984375
2022-06-10,558.9384155273438
2022-06-13,545.3447875976562
2022-06-14,533.3504028320312
2022-06-15,544.3452758789062
2022-06-16,530.7515258789062
2022-06-17,541.7465209960938
2022-06-20,549.9426879882812
2022-06-21,556.7393798828125
2022-06-22,557.7389526367188
2022-06-23,555.9398803710938
2022-06-24,577.7296142578125
2022-06-27,577.9296264648438
2022-06-28,570.73291015625
2022-06-29,571.5325927734375
2022-06-30,568.1341552734375
2022-07-01,564.9356079101562
2022-07-04,565.9351806640625
2022-07-05,573.9314575195312
2022-07-06,594.9216918945312
2022-07-07,596.920654296875
2022-07-08,603.3176879882812
2022-07-11,599.9192504882812
2022-07-12,596.920654296875
2022-07-13,592.9225463867188
2022-07-14,588.3247680664062
2022-07-15,592.522705078125
2022-07-18,605.316650390625
2022-07-19,607.315673828125
2022-07-20,615.1121826171875
2022-07-21,630.1051635742188
2022-07-22,628.5059204101562
2022-07-25,622.7086181640625
2022-07-26,605.9164428710938
2022-07-27,623.3082885742188
2022-07-28,644.4983520507812
2022-07-29,639.30078125
2022-08-01,654.2938232421875
2022-08-02,630.9047241210938
2022-08-03,651.6949462890625
2022-08-04,662.6898803710938
2022-08-05,644.0986328125
2022-08-08,653.8939208984375
2022-08-09,635.7025146484375
2022-08-10,655.0934448242188
2022-08-11,656.4927368164062
2022-08-12,651.6949462890625
2022-08-15,654.693603515625
2022-08-16,637.3017578125
2022-08-17,640.1005249023438
2022-08-18,640.9000854492188
2022-08-19,634.1033325195312
2022-08-22,622.9085083007812
2022-08-23,609.5147094726562
2022-08-24,616.3115844726562
2022-08-25,614.9122924804688
2022-08-26,600.9188232421875
2022-08-30,603.3176879882812
2022-08-31,607.315673828125
2022-09-01,593.1223754882812
2022-09-02,604.9169921875
2022-09-05,592.522705078125
2022-09-06,616.3115844726562
2022-09-07,619.510009765625
2022-09-08,617.7108764648438
2022-09-09,629.705322265625
2022-09-12,637.501708984375
2022-09-13,617.5109252929688
2022-09-14,606.3162231445312
2022-09-15,602.7179565429688
2022-09-16,593.1223754882812
2022-09-20,585.7258911132812
2022-09-21,602.318115234375
2022-09-22,598.7197875976562
2022-09-23,571.7323608398438
2022-09-26,548.943115234375
2022-09-27,500.3658447265625
2022-09-28,505.363525390625
2022-09-29,466.4122009277344
2022-09-30,482.00592041015625
2022-10-03,482.8055419921875
2022-10-04,490.5024719238281
2022-10-05,485.3045654296875
2022-10-06,480.6064453125
2022-10-07,466.61212158203125
2022-10-10,466.81201171875
2022-10-11,453.6173095703125
2022-10-12,445.2207336425781
2022-10-13,456.6161193847656
2022-10-14,466.4122009277344
2022-10-17,477.0079345703125
2022-10-18,480.30657958984375
2022-10-19,460.0147705078125
2022-10-20,472.9095764160156
2022-10-21,458.9151916503906
2022-10-24,471.610107421875
2022-10-25,489.2030029296875
2022-10-26,508.59521484375
2022-10-27,497.19976806640625
2022-10-28,492.00189208984375
2022-10-31,491.6020202636719
2022-11-01,498.5992431640625
2022-11-02,495.60040283203125
2022-11-03,492.9015197753906
2022-11-04,507.5955810546875
2022-11-07,503.1973571777344
2022-11-08,513.193359375
2022-11-09,520.1905517578125
2022-11-10,548.5791015625
2022-11-11,559.5746459960938
2022-11-14,557.1757202148438
2022-11-15,565.772216796875
2022-11-16,540.3823852539062
2022-11-17,539.1829223632812
2022-11-18,544.9805297851562
2022-11-21,544.5807495117188
2022-11-22,544.5807495117188
2022-11-23,558.3751220703125
2022-11-24,569.3707275390625
2022-11-25,560.97412109375
2022-11-28,558.7749633789062
2022-11-29,551.3779907226562
2022-11-30,553.1773071289062
2022-12-01,561.7738037109375
2022-12-02,562.9732666015625
2022-12-05,563.1732177734375
2022-12-06,557.1757202148438
2022-12-07,554.776611328125
2022-12-08,547.7793579101562
2022-12-09,549.3787231445312
2022-12-12,549.5786743164062
2022-12-13,559.5746459960938
2022-12-14,559.5746459960938
2022-12-15,543.381103515625
2022-12-16,530.9862060546875
2022-12-19,516.3919677734375
2022-12-20,514.792724609375
2022-12-21,526.5879516601562
2022-12-22,516.5919799804688
2022-12-23,516.3919677734375
2022-12-28,517.591552734375
2022-12-29,524.1889038085938
2022-12-30,511.19415283203125
2023-01-03,522.5895385742188
2023-01-04,526.3880004882812
2023-01-05,533.185302734375
2023-01-06,538.183349609375
2023-01-09,544.9805297851562
2023-01-10,552.977294921875
2023-01-11,548.5791015625
2023-01-12,545.5802612304688
2023-01-13,550.37841796875
2023-01-16,553.1773071289062
2023-01-17,552.7774047851562
2023-01-18,554.776611328125
2023-01-19,559.5746459960938
2023-01-20,572.5693969726562
2023-01-23,577.767333984375
