Date,BAG.L
2021-09-28,520.489990234375
2021-09-29,527.4832153320312
2021-09-30,516.4939575195312
2021-10-01,528.4822387695312
2021-10-04,529.4811401367188
2021-10-05,533.4773559570312
2021-10-06,532.4783325195312
2021-10-07,505.5237121582031
2021-10-08,499.52935791015625
2021-10-11,499.52935791015625
2021-10-12,503.5256042480469
2021-10-13,510.5190124511719
2021-10-14,511.5180358886719
2021-10-15,528.5020751953125
2021-10-18,519.510498046875
2021-10-19,515.5143432617188
2021-10-20,519.510498046875
2021-10-21,515.5143432617188
2021-10-22,510.5190124511719
2021-10-25,510.5190124511719
2021-10-26,509.5199279785156
2021-10-27,508.5209045410156
2021-10-28,497.5312194824219
2021-10-29,496.0326843261719
2021-11-01,497.5312194824219
2021-11-02,496.0326843261719
2021-11-03,489.53875732421875
2021-11-04,488.53973388671875
2021-11-05,493.5350341796875
2021-11-08,492.0364074707031
2021-11-09,492.53594970703125
2021-11-10,495.5331115722656
2021-11-11,496.5321960449219
2021-11-12,491.0373840332031
2021-11-15,491.0373840332031
2021-11-16,492.53594970703125
2021-11-17,484.0439453125
2021-11-18,486.5415954589844
2021-11-19,478.54913330078125
2021-11-22,472.5548095703125
2021-11-23,471.5556945800781
2021-11-24,465.56134033203125
2021-11-25,474.0533447265625
2021-11-26,467.5594482421875
2021-11-29,528.5020751953125
2021-11-30,527.5030517578125
2021-12-01,522.5076904296875
2021-12-02,533.4973754882812
2021-12-03,519.510498046875
2021-12-06,522.5076904296875
2021-12-07,528.5020751953125
2021-12-08,527.5030517578125
2021-12-09,524.505859375
2021-12-10,527.5030517578125
2021-12-13,524.505859375
2021-12-14,515.5143432617188
2021-12-15,515.5143432617188
2021-12-16,519.510498046875
2021-12-17,522.5076904296875
2021-12-20,528.5020751953125
2021-12-21,528.5020751953125
2021-12-22,525.5048828125
2021-12-23,519.510498046875
2021-12-24,519.510498046875
2021-12-29,520.509521484375
2021-12-30,519.510498046875
2021-12-31,517.5125122070312
2022-01-04,518.511474609375
2022-01-05,518.511474609375
2022-01-06,510.5190124511719
2022-01-07,507.5218505859375
2022-01-10,505.5237121582031
2022-01-11,509.5199279785156
2022-01-12,506.5227355957031
2022-01-13,509.5199279785156
2022-01-14,509.5199279785156
2022-01-17,506.5227355957031
2022-01-18,512.5171508789062
2022-01-19,514.5152587890625
2022-01-20,520.509521484375
2022-01-21,509.5199279785156
2022-01-24,488.04022216796875
2022-01-25,491.536865234375
2022-01-26,498.0307922363281
2022-01-27,497.5312194824219
2022-01-28,495.0335998535156
2022-01-31,494.5340881347656
2022-02-01,499.52935791015625
2022-02-02,509.5199279785156
2022-02-03,537.4935913085938
2022-02-04,521.5086669921875
2022-02-07,525.5048828125
2022-02-08,525.5048828125
2022-02-09,524.505859375
2022-02-10,524.505859375
2022-02-11,524.505859375
2022-02-14,516.5133666992188
2022-02-15,506.5227355957031
2022-02-16,504.524658203125
2022-02-17,500.5284118652344
2022-02-18,504.524658203125
2022-02-21,494.0345153808594
2022-02-22,485.5426025390625
