Date,SPX.L
2019-02-14,6693.32666015625
2019-02-15,6673.34619140625
2019-02-18,6748.27294921875
2019-02-19,6718.302734375
2019-02-20,6763.25732421875
2019-02-21,6758.26220703125
2019-02-22,6778.2412109375
2019-02-25,6773.24658203125
2019-02-26,6753.26708984375
2019-02-27,6648.37158203125
2019-02-28,6658.361328125
2019-03-01,6753.26708984375
2019-03-04,6818.20166015625
2019-03-05,6853.16748046875
2019-03-06,6843.17822265625
2019-03-07,6998.02197265625
2019-03-08,6908.11279296875
2019-03-11,7047.97216796875
2019-03-12,7082.93798828125
2019-03-13,7112.90869140625
2019-03-14,7117.90380859375
2019-03-15,7072.94775390625
2019-03-18,7003.017578125
2019-03-19,7077.943359375
2019-03-20,7077.943359375
2019-03-21,7142.87841796875
2019-03-22,7057.96337890625
2019-03-25,6983.03759765625
2019-03-26,7057.96337890625
2019-03-27,7042.97900390625
2019-03-28,7082.93798828125
2019-03-29,7182.8388671875
2019-04-01,7297.72412109375
2019-04-02,7392.62939453125
2019-04-03,7487.53515625
2019-04-04,7517.50439453125
2019-04-05,7612.41015625
2019-04-08,7657.36572265625
2019-04-09,7622.400390625
2019-04-10,7702.3212890625
2019-04-11,7847.17578125
2019-04-12,7872.15087890625
2019-04-15,8002.021484375
2019-04-16,8031.99169921875
2019-04-17,8026.99755859375
2019-04-18,8022.00146484375
2019-04-23,8196.828125
2019-04-24,8326.6982421875
2019-04-25,8157.5625
2019-04-26,8172.54833984375
2019-04-29,8167.55322265625
2019-04-30,8242.4853515625
2019-05-01,8137.580078125
2019-05-02,8147.5712890625
2019-05-03,8187.5341796875
2019-05-07,8092.62158203125
2019-05-08,8192.529296875
2019-05-09,8037.671875
2019-05-10,8117.5986328125
2019-05-13,8052.65771484375
2019-05-14,8407.3330078125
2019-05-15,8517.234375
2019-05-16,8692.076171875
2019-05-17,8672.0927734375
2019-05-20,8582.173828125
2019-05-21,8582.173828125
2019-05-22,8772.0009765625
2019-05-23,8717.0517578125
2019-05-24,8861.919921875
2019-05-28,8642.1201171875
2019-05-29,8397.3427734375
2019-05-30,8432.310546875
2019-05-31,8352.3857421875
2019-06-03,8397.3427734375
2019-06-04,8467.2822265625
2019-06-05,8527.2255859375
2019-06-06,8427.3173828125
2019-06-07,8552.201171875
2019-06-10,8752.0205078125
2019-06-11,8752.0205078125
2019-06-12,8776.998046875
2019-06-13,8767.0078125
2019-06-14,8692.076171875
2019-06-17,8712.056640625
2019-06-18,8886.8974609375
2019-06-19,8816.9609375
2019-06-20,8976.8154296875
2019-06-21,9101.701171875
2019-06-24,9221.5927734375
2019-06-25,9306.5146484375
2019-06-26,9256.5615234375
2019-06-27,9166.6435546875
2019-06-28,9176.6328125
2019-07-01,9311.5107421875
2019-07-02,9301.5185546875
2019-07-03,9391.4365234375
2019-07-04,9236.578125
2019-07-05,9031.7666015625
2019-07-08,9006.787109375
2019-07-09,8876.9072265625
2019-07-10,8786.9892578125
2019-07-11,8702.06640625
2019-07-12,8687.0791015625
2019-07-15,8762.01171875
2019-07-16,8836.9404296875
2019-07-17,8856.92578125
2019-07-18,8772.0009765625
2019-07-19,8762.01171875
2019-07-22,8757.015625
2019-07-23,8757.015625
2019-07-24,8762.01171875
2019-07-25,8767.0078125
2019-07-26,8871.9091796875
2019-07-29,8966.8232421875
2019-07-30,9021.775390625
2019-07-31,8986.8056640625
2019-08-01,9081.71875
2019-08-02,8781.9912109375
2019-08-05,8492.2568359375
2019-08-06,8602.15625
2019-08-07,8052.65771484375
2019-08-08,8087.62646484375
2019-08-09,7912.7861328125
2019-08-12,7912.7861328125
2019-08-13,7847.84423828125
2019-08-14,7727.95361328125
2019-08-15,7682.994140625
2019-08-16,7777.9072265625
2019-08-19,7807.88134765625
2019-08-20,7842.84912109375
2019-08-21,8047.662109375
2019-08-22,7912.7861328125
2019-08-23,7867.826171875
2019-08-27,7787.89990234375
2019-08-28,7732.94921875
2019-08-29,7902.79345703125
2019-08-30,8017.689453125
2019-09-02,8032.67626953125
2019-09-03,8017.689453125
2019-09-04,8017.689453125
2019-09-05,8052.65771484375
2019-09-06,8117.5986328125
2019-09-09,8102.61181640625
2019-09-10,7857.8359375
2019-09-11,8092.62158203125
2019-09-12,8172.54833984375
2019-09-13,8122.59423828125
2019-09-16,7982.72216796875
2019-09-17,8057.6533203125
2019-09-18,8057.6533203125
2019-09-19,8137.580078125
2019-09-20,7997.7080078125
2019-09-23,7997.7080078125
2019-09-24,7762.9228515625
2019-09-25,7638.03564453125
2019-09-26,7762.9228515625
2019-09-27,7882.8125
2019-09-30,7837.8544921875
2019-10-01,7797.890625
2019-10-02,7618.05419921875
2019-10-03,7433.22265625
2019-10-04,7598.072265625
2019-10-07,7687.990234375
2019-10-08,7568.09912109375
2019-10-09,7593.07666015625
2019-10-10,7528.45361328125
2019-10-11,7558.4267578125
2019-10-14,7613.37841796875
2019-10-15,7523.45751953125
2019-10-16,7323.63037109375
2019-10-17,7493.484375
2019-10-18,7493.484375
2019-10-21,7483.4912109375
2019-10-22,7458.5146484375
2019-10-23,7468.50439453125
2019-10-24,7568.41796875
2019-10-25,7588.400390625
2019-10-28,7793.22216796875
2019-10-29,7808.208984375
2019-10-30,7958.0791015625
2019-10-31,7918.11376953125
2019-11-01,8072.97900390625
2019-11-04,8192.8740234375
2019-11-05,8322.76171875
2019-11-06,8327.7578125
2019-11-07,8482.623046875
2019-11-08,8432.666015625
2019-11-11,8292.787109375
2019-11-12,8207.861328125
2019-11-13,8387.705078125
2019-11-14,8342.744140625
2019-11-15,8417.677734375
2019-11-18,8327.7578125
2019-11-19,8542.572265625
2019-11-20,8537.5771484375
2019-11-21,8497.6103515625
2019-11-22,8582.53515625
2019-11-25,8842.310546875
2019-11-26,8922.240234375
2019-11-27,9092.09375
2019-11-28,8982.189453125
2019-11-29,8917.24609375
2019-12-02,8877.2802734375
2019-12-03,8852.30078125
2019-12-04,8837.3125
2019-12-05,8792.3544921875
