Date,COPEC.SN
2022-09-28,6120.15869140625
2022-09-29,6109.16015625
2022-09-30,6200.34765625
2022-10-03,6299.13427734375
2022-10-04,6499.1064453125
2022-10-05,6435.115234375
2022-10-06,6425.11669921875
2022-10-07,6234.142578125
2022-10-11,6049.16845703125
2022-10-12,6069.166015625
2022-10-13,6129.1572265625
2022-10-14,6099.162109375
2022-10-17,6334.12939453125
2022-10-18,6194.14892578125
2022-10-19,6189.14892578125
2022-10-20,6425.0166015625
2022-10-21,6288.93505859375
2022-10-24,6179.150390625
2022-10-25,6399.82080078125
2022-10-26,6394.12109375
2022-10-27,6581.095703125
2022-10-28,6501.10595703125
2022-11-02,6465.111328125
2022-11-03,6349.126953125
2022-11-04,6498.1064453125
2022-11-07,6659.0849609375
2022-11-08,6888.95263671875
2022-11-09,6849.05859375
2022-11-10,6709.17822265625
2022-11-11,6584.09521484375
2022-11-14,6559.0986328125
2022-11-15,6384.12255859375
2022-11-16,6359.1259765625
2022-11-17,6389.021484375
2022-11-18,6329.12939453125
2022-11-21,6349.126953125
2022-11-22,6249.1416015625
2022-11-23,6149.154296875
2022-11-24,6129.1572265625
2022-11-25,6159.1533203125
2022-11-28,6098.162109375
2022-11-29,6034.169921875
2022-11-30,6223.14501953125
2022-12-01,6139.15576171875
2022-12-02,6124.15771484375
2022-12-05,6064.26611328125
2022-12-06,6049.16845703125
2022-12-07,6034.169921875
2022-12-09,6147.15478515625
2022-12-12,6064.3955078125
2022-12-13,5999.40234375
2022-12-14,5919.41064453125
2022-12-15,5854.4169921875
2022-12-16,5949.4072265625
2022-12-19,5999.40234375
2022-12-20,6299.37255859375
2022-12-21,6170.38525390625
2022-12-22,6303.3720703125
2022-12-23,6374.26513671875
2022-12-26,6299.37255859375
2022-12-27,6305.3720703125
2022-12-28,6399.36279296875
2022-12-29,6299.37255859375
2022-12-30,6328.36962890625
2023-01-03,6164.38623046875
2023-01-04,6030.3994140625
2023-01-05,6088.3935546875
2023-01-06,6119.39111328125
2023-01-09,6114.39111328125
2023-01-10,6149.38720703125
2023-01-11,6185.38427734375
2023-01-12,6179.38427734375
2023-01-13,6092.39306640625
2023-01-16,6094.39306640625
2023-01-17,6139.38818359375
2023-01-18,6135.38916015625
2023-01-19,6155.38720703125
2023-01-20,6266.3759765625
2023-01-23,6261.17626953125
2023-01-24,6081.39453125
2023-01-25,6057.79638671875
2023-01-26,6110.39111328125
2023-01-27,6119.39111328125
2023-01-30,6084.3935546875
2023-01-31,6004.40234375
2023-02-01,6044.39794921875
2023-02-02,6034.19873046875
2023-02-03,5929.4091796875
2023-02-06,5926.009765625
2023-02-07,5804.421875
2023-02-08,5859.2158203125
2023-02-09,5998.40234375
2023-02-10,6074.39501953125
2023-02-13,5951.4072265625
2023-02-14,5849.41748046875
2023-02-15,5949.30712890625
2023-02-16,5973.40478515625
2023-02-17,5908.51171875
2023-02-20,5943.50830078125
2023-02-21,5840.41796875
2023-02-22,5830.41943359375
2023-02-23,5879.41455078125
2023-02-24,5929.4091796875
2023-02-27,5999.40234375
2023-02-28,5979.404296875
2023-03-01,5909.41162109375
2023-03-02,5964.40625
2023-03-03,5924.51025390625
2023-03-06,5903.41162109375
2023-03-07,5877.41455078125
2023-03-08,5869.41552734375
2023-03-09,5869.41552734375
2023-03-10,5856.4169921875
2023-03-13,5789.42333984375
2023-03-14,5669.435546875
2023-03-15,5524.44970703125
2023-03-16,5699.4326171875
2023-03-17,5614.44091796875
2023-03-20,5629.439453125
2023-03-21,5759.42626953125
2023-03-22,5799.42236328125
2023-03-23,5808.42138671875
2023-03-24,5674.4345703125
2023-03-27,5561.44580078125
2023-03-28,5488.35302734375
2023-03-29,5534.44873046875
2023-03-30,5559.44580078125
2023-03-31,5609.44140625
2023-04-03,5505.45166015625
2023-04-04,5464.45556640625
2023-04-05,5499.45263671875
2023-04-06,5530.64892578125
2023-04-10,5514.45068359375
2023-04-11,5499.45263671875
2023-04-12,5619.43994140625
2023-04-13,5700.5322265625
